Protein,Len,NO,NO,NO,OO,OO,OO,LogFoldChange,Zstatistic,fdr,FDRup,FDRdown,DEFLINE,Uniprot
m.5661,257,0,0,1,0,0,0,0.258,0.2766,0.992504,0.441509,0.664209,Predicted protein OS=Nematostella vectensis GN=v1g239175 PE=4 SV=1,3268279
m.9104,238,12,18,5,10,8,7,-0.12,-0.4863,0.041823,0.643911,0.002185,Predicted protein OS=Nematostella vectensis GN=v1g239175 PE=4 SV=1,3268279
m.17562,293,2,0,0,4,4,3,1.244,2.2716,0,0,0.623472,Predicted protein OS=Nematostella vectensis GN=v1g231988 PE=4 SV=1,3268417
m.30386,129,1,1,0,0,0,0,0.216,0.2401,0.996205,0.481062,0.638585,Predicted protein OS=Nematostella vectensis GN=v1g199281 PE=4 SV=1,3268546
m.399,137,0,0,4,0,0,0,-0.59,-0.7478,0.000468,0.62464,0.000018,Predicted protein OS=Nematostella vectensis GN=v1g199281 PE=4 SV=1,3268546
m.11636,357,7,4,20,29,30,29,1.286,5.983,0,0,0.561312,Predicted protein (Fragment) OS=Nematostella vectensis GN=v1g87496 PE=4 SV=1,3268757
m.27603,105,1,0,1,2,1,2,0.773,1.0268,0.007099,0.00018,0.711838,Predicted protein OS=Nematostella vectensis GN=v1g239513 PE=4 SV=1,3268769
m.36124,147,5,0,2,5,6,5,0.942,2.1768,0,0,0.628234,Predicted protein OS=Nematostella vectensis GN=v1g199871 PE=4 SV=1,3269030
m.30517,248,9,15,7,7,4,5,-0.459,-1.4368,0,0.593712,0,Predicted protein OS=Nematostella vectensis GN=v1g239742 PE=4 SV=1,3269195
m.5995,189,0,0,1,0,0,0,0.203,0.2449,0.995552,0.476109,0.642241,Predicted protein OS=Nematostella vectensis GN=v1g239748 PE=4 SV=1,3269202
m.34993,434,3,0,2,2,4,3,0.628,1.2081,0.000203,0.000005,0.695347,Predicted protein OS=Nematostella vectensis GN=v1g240022 PE=4 SV=1,3269697
m.6490,438,5,0,7,30,33,38,2.291,8.1543,0,0,0.557714,Predicted protein OS=Nematostella vectensis GN=v1g240575 PE=4 SV=1,3270643
m.1002,498,0,0,0,4,3,0,1.296,1.8212,0,0,0.649006,Predicted protein OS=Nematostella vectensis GN=v1g240580 PE=4 SV=1,3270652
m.11842,252,0,0,0,8,16,15,2.963,4.7248,0,0,0.567376,Predicted protein OS=Nematostella vectensis GN=v1g240789 PE=4 SV=1,3270986
m.16496,187,0,0,0,1,0,3,0.771,1.0457,0.005071,0.000127,0.710068,Predicted protein OS=Nematostella vectensis GN=v1g232305 PE=4 SV=1,3271176
m.26667,163,1,0,0,0,0,0,0.115,0.1337,1,0.57057,0.532915,Predicted protein OS=Nematostella vectensis GN=v1g203259 PE=4 SV=1,3271726
m.5355,551,1,1,1,2,1,1,0.508,0.6174,0.701474,0.059265,0.745441,Predicted protein OS=Nematostella vectensis GN=v1g241302 PE=4 SV=1,3271919
m.196,258,5,10,8,6,9,6,0.129,0.4219,0.966837,0.254649,0.725938,Predicted protein OS=Nematostella vectensis GN=v1g241439 PE=4 SV=1,3272153
m.5839,328,0,0,0,1,4,2,1.213,1.6078,0,0,0.663723,Predicted protein OS=Nematostella vectensis GN=v1g241481 PE=4 SV=1,3272239
m.23572,144,3,2,15,2,4,2,-0.743,-1.6607,0,0.587581,0,Predicted protein OS=Nematostella vectensis GN=v1g241615 PE=4 SV=1,3272459
m.33059,120,1,0,0,2,4,1,1.162,1.5273,0,0,0.669637,Predicted protein OS=Nematostella vectensis GN=v1g241615 PE=4 SV=1,3272459
m.7223,105,0,0,0,1,1,0,0.183,0.217,0.998644,0.503802,0.619706,Predicted protein OS=Nematostella vectensis GN=v1g241754 PE=4 SV=1,3272691
m.7382,319,1,2,2,0,0,0,-0.375,-0.4648,0.056575,0.645673,0.003047,Predicted protein (Fragment) OS=Nematostella vectensis GN=v1g99081 PE=4 SV=1,3272870
m.8791,125,0,0,1,0,0,0,0.172,0.2075,0.999724,0.512624,0.611303,Predicted protein OS=Nematostella vectensis GN=v1g241933 PE=4 SV=1,3272964
m.20925,190,5,22,44,0,0,0,-3.035,-4.8331,0,0.56158,0,Predicted protein OS=Nematostella vectensis GN=v1g241950 PE=4 SV=1,3272997
m.27378,104,8,8,7,0,0,0,-1.96,-2.971,0,0.570077,0,Predicted protein OS=Nematostella vectensis GN=v1g241994 PE=4 SV=1,3273073
m.33472,425,9,7,5,3,1,2,-1.072,-2.2623,0,0.576815,0,Predicted protein OS=Nematostella vectensis GN=v1g241995 PE=4 SV=1,3273074
m.38038,462,4,15,14,19,18,20,0.803,3.4354,0,0,0.586429,Predicted protein OS=Nematostella vectensis GN=v1g241995 PE=4 SV=1,3273074
m.450,995,0,0,0,3,1,2,0.965,1.3189,0.000016,0,0.685917,Predicted protein OS=Nematostella vectensis GN=v1g242007 PE=4 SV=1,3273090
m.1809,261,0,0,1,2,2,1,0.873,1.0633,0.003679,0.000091,0.70843,Predicted protein OS=Nematostella vectensis GN=v1g242093 PE=4 SV=1,3273245
m.16552,236,1,0,0,2,1,2,0.755,0.9843,0.014642,0.000387,0.71586,Predicted protein OS=Nematostella vectensis GN=v1g242207 PE=4 SV=1,3273425
m.5125,382,3,2,0,0,0,0,-0.57,-0.7666,0.00032,0.623462,0.000012,Predicted protein OS=Nematostella vectensis GN=v1g242327 PE=4 SV=1,3273662
m.515,303,1,0,0,1,1,2,0.569,0.6577,0.58529,0.039272,0.744226,Predicted protein OS=Nematostella vectensis GN=v1g242428 PE=4 SV=1,3273803
m.19196,199,1,5,0,0,0,0,-0.735,-1.052,0,0.608347,0,Predicted protein OS=Nematostella vectensis GN=v1g205949 PE=4 SV=1,3273897
m.3119,415,0,0,0,1,2,0,0.571,0.7088,0.425558,0.022122,0.741254,Predicted protein OS=Nematostella vectensis GN=v1g242477 PE=4 SV=1,3273915
m.3666,213,89,163,113,108,106,98,0.081,1.0457,0.005071,0.000127,0.710068,Predicted protein OS=Nematostella vectensis GN=v1g242530 PE=4 SV=1,3274001
m.9498,636,3,0,2,2,2,4,0.516,0.8999,0.053365,0.001579,0.723998,Predicted protein OS=Nematostella vectensis GN=v1g242619 PE=4 SV=1,3274122
m.3827,229,1,1,0,0,0,0,0.084,0.0956,1,0.593542,0.483393,Predicted protein OS=Nematostella vectensis GN=v1g242688 PE=4 SV=1,3274269
m.23628,181,0,1,2,0,0,0,-0.127,-0.1528,0.802531,0.659838,0.125282,Predicted protein OS=Nematostella vectensis GN=v1g242847 PE=4 SV=1,3274544
m.17662,137,5,0,4,5,4,6,0.668,1.6641,0,0,0.659693,Predicted protein OS=Nematostella vectensis GN=v1g206837 PE=4 SV=1,3274580
m.8032,116,2,3,6,0,0,0,-1.172,-1.7469,0,0.585622,0,Predicted protein OS=Nematostella vectensis GN=v1g206837 PE=4 SV=1,3274580
m.29779,268,0,4,0,0,0,0,-0.596,-0.808,0.000135,0.620962,0.000005,Predicted protein OS=Nematostella vectensis GN=v1g207081 PE=4 SV=1,3274773
m.1415,197,0,0,0,7,6,5,2.188,3.2384,0,0,0.590449,Predicted protein OS=Nematostella vectensis GN=v1g243062 PE=4 SV=1,3274911
m.21375,111,0,0,0,1,1,1,0.154,0.1814,1,0.535252,0.586247,Predicted protein OS=Nematostella vectensis GN=v1g243062 PE=4 SV=1,3274911
m.20248,122,2,0,0,0,0,0,-0.132,-0.1729,0.751662,0.660671,0.105359,Predicted protein OS=Nematostella vectensis GN=v1g207332 PE=4 SV=1,3274977
m.13280,144,0,0,0,1,1,1,0.237,0.281,0.991914,0.436456,0.666971,Predicted protein OS=Nematostella vectensis GN=v1g243116 PE=4 SV=1,3274992
m.16901,126,20,0,0,0,0,0,-1.923,-2.7633,0,0.571807,0,Predicted protein OS=Nematostella vectensis GN=v1g243126 PE=4 SV=1,3275002
m.23134,126,0,0,0,0,1,0,0.125,0.1448,1,0.563026,0.546203,Predicted protein OS=Nematostella vectensis GN=v1g243126 PE=4 SV=1,3275002
m.29873,128,0,0,0,0,1,0,0.171,0.2,1,0.519369,0.604397,Predicted protein OS=Nematostella vectensis GN=v1g243126 PE=4 SV=1,3275002
m.26278,149,10,6,0,9,6,6,0.447,1.2857,0.000036,0.000001,0.688682,Predicted protein OS=Nematostella vectensis GN=v1g207416 PE=4 SV=1,3275035
m.29137,625,8,0,2,0,1,1,-1.187,-1.7809,0,0.584903,0,Predicted protein OS=Nematostella vectensis GN=v1g243188 PE=4 SV=1,3275113
m.15101,134,2,1,0,0,0,0,-0.103,-0.117,0.877406,0.657131,0.166428,Predicted protein OS=Nematostella vectensis GN=v1g207953 PE=4 SV=1,3275455
m.16765,214,1,0,0,0,0,0,0.207,0.2524,0.994954,0.468218,0.647775,Predicted protein OS=Nematostella vectensis GN=v1g207953 PE=4 SV=1,3275455
m.25456,233,3,4,0,1,1,0,-0.817,-1.1892,0,0.602482,0,Predicted protein OS=Nematostella vectensis GN=v1g207953 PE=4 SV=1,3275455
m.29955,115,3,1,0,0,0,0,-0.31,-0.3961,0.136393,0.651247,0.008268,Predicted protein OS=Nematostella vectensis GN=v1g207953 PE=4 SV=1,3275455
m.30023,103,0,0,0,2,1,2,0.828,1.0922,0.002139,0.000052,0.705761,Predicted protein OS=Nematostella vectensis GN=v1g207953 PE=4 SV=1,3275455
m.31542,149,9,9,6,6,4,4,-0.311,-0.951,0.000005,0.613186,0,Predicted protein OS=Nematostella vectensis GN=v1g207953 PE=4 SV=1,3275455
m.33051,377,5,2,0,1,0,0,-0.906,-1.1951,0,0.602246,0,Predicted protein OS=Nematostella vectensis GN=v1g207953 PE=4 SV=1,3275455
m.33767,105,1,1,0,0,0,0,0.248,0.2785,0.992198,0.439334,0.66541,Predicted protein OS=Nematostella vectensis GN=v1g207953 PE=4 SV=1,3275455
m.34525,118,0,1,0,0,0,0,0.176,0.2135,0.998762,0.507086,0.616653,Predicted protein OS=Nematostella vectensis GN=v1g207953 PE=4 SV=1,3275455
m.34605,160,4,3,1,1,1,1,-0.882,-1.2277,0,0.600971,0,Predicted protein OS=Nematostella vectensis GN=v1g207953 PE=4 SV=1,3275455
m.34788,177,1,0,0,0,0,0,0.136,0.1425,1,0.564622,0.543494,Predicted protein OS=Nematostella vectensis GN=v1g207953 PE=4 SV=1,3275455
m.37256,174,3,1,0,0,0,1,-0.403,-0.5354,0.020121,0.639937,0.000987,Predicted protein OS=Nematostella vectensis GN=v1g207953 PE=4 SV=1,3275455
m.9178,193,2,0,0,1,1,1,-0.168,-0.2018,0.669445,0.661136,0.080748,Predicted protein OS=Nematostella vectensis GN=v1g207953 PE=4 SV=1,3275455
m.13133,304,6,21,32,39,40,39,0.95,6.0351,0,0,0.561185,Predicted protein OS=Nematostella vectensis GN=v1g243369 PE=4 SV=1,3275465
m.17440,279,0,1,0,0,0,0,0.121,0.1406,1,0.565928,0.541238,Predicted protein OS=Nematostella vectensis GN=v1g208025 PE=4 SV=1,3275511
m.19439,178,0,0,2,2,2,2,0.662,0.9667,0.01949,0.000525,0.717541,Predicted protein OS=Nematostella vectensis GN=v1g208242 PE=4 SV=1,3275689
m.3433,518,0,0,0,1,0,0,0.143,0.1576,1,0.553826,0.560866,Predicted protein OS=Nematostella vectensis GN=v1g232854 PE=4 SV=1,3275692
m.35294,218,0,1,0,0,0,0,0.261,0.2915,0.990825,0.424164,0.673302,Predicted protein OS=Nematostella vectensis GN=v1g243529 PE=4 SV=1,3275771
m.1215,381,60,62,39,33,35,33,-0.235,-1.8224,0,0.584062,0,Predicted protein OS=Nematostella vectensis GN=v1g243536 PE=4 SV=1,3275784
m.5116,342,1,4,1,3,2,1,0.206,0.3583,0.982813,0.33966,0.705675,Predicted protein OS=Nematostella vectensis GN=v1g243708 PE=4 SV=1,3276105
m.30492,247,19,11,11,11,12,11,0.023,0.1066,1,0.587359,0.498293,Predicted protein OS=Nematostella vectensis GN=v1g109978 PE=4 SV=1,3276169
m.5932,403,2,0,2,0,0,0,-0.342,-0.4307,0.08908,0.648465,0.005063,Predicted protein OS=Nematostella vectensis GN=v1g243754 PE=4 SV=1,3276180
m.16363,339,0,1,0,1,0,0,0.248,0.2811,0.991913,0.43634,0.667033,Predicted protein OS=Nematostella vectensis GN=v1g208975 PE=4 SV=1,3276285
m.17007,211,1,0,0,2,0,0,0.473,0.6032,0.738334,0.067912,0.745566,Predicted protein OS=Nematostella vectensis GN=v1g208975 PE=4 SV=1,3276285
m.6295,334,1,2,2,0,0,0,-0.377,-0.4599,0.060504,0.646075,0.003282,Predicted protein OS=Nematostella vectensis GN=v1g208975 PE=4 SV=1,3276285
m.8374,341,0,2,0,0,0,0,-0.096,-0.1259,0.860608,0.657962,0.155539,Predicted protein OS=Nematostella vectensis GN=v1g208975 PE=4 SV=1,3276285
m.3167,409,3,6,3,1,0,0,-1.296,-1.9161,0,0.582299,0,Predicted protein OS=Nematostella vectensis GN=v1g243852 PE=4 SV=1,3276328
m.15158,259,17,11,12,3,4,3,-1.179,-3.3452,0,0.567514,0,Predicted protein OS=Nematostella vectensis GN=v1g232929 PE=4 SV=1,3276401
m.13551,300,0,0,0,1,0,0,0.221,0.2602,0.994073,0.459815,0.653304,Predicted protein OS=Nematostella vectensis GN=v1g243976 PE=4 SV=1,3276542
m.25258,278,11,14,14,11,11,16,0.21,0.8874,0.063505,0.001921,0.725215,Predicted protein OS=Nematostella vectensis GN=v1g243995 PE=4 SV=1,3276573
m.25060,237,0,0,3,0,0,0,-0.45,-0.5707,0.0115,0.637155,0.00054,Predicted protein (Fragment) OS=Nematostella vectensis GN=v1g244126 PE=4 SV=1,3276858
m.5473,170,8,4,3,7,4,4,0.25,0.6601,0.577881,0.038277,0.744118,Predicted protein (Fragment) OS=Nematostella vectensis GN=v1g244126 PE=4 SV=1,3276858
m.25798,273,1,0,0,0,0,0,0.215,0.2443,0.995661,0.476732,0.641789,Predicted protein OS=Nematostella vectensis GN=v1g210044 PE=4 SV=1,3277133
m.24266,335,0,0,0,2,0,0,0.468,0.5974,0.752091,0.071698,0.745565,Predicted protein OS=Nematostella vectensis GN=v1g210155 PE=4 SV=1,3277226
m.15822,319,0,3,2,2,1,1,-0.229,-0.336,0.260135,0.655739,0.018263,Predicted protein OS=Nematostella vectensis GN=v1g244535 PE=4 SV=1,3277618
m.5185,122,1,1,1,3,0,0,0.86,1.0779,0.002804,0.000068,0.707079,Predicted protein OS=Nematostella vectensis GN=v1g244535 PE=4 SV=1,3277618
m.39,352,1,2,0,1,0,0,-0.1,-0.121,0.870362,0.657518,0.161484,Predicted protein OS=Nematostella vectensis GN=v1g244685 PE=4 SV=1,3277886
m.33987,209,0,0,0,0,0,1,0.244,0.2714,0.99297,0.447405,0.660854,Predicted protein OS=Nematostella vectensis GN=v1g211472 PE=4 SV=1,3278245
m.17401,143,17,1,4,0,0,0,-1.932,-2.917,0,0.57052,0,Predicted protein OS=Nematostella vectensis GN=v1g245074 PE=4 SV=1,3278511
m.19503,183,4,6,4,5,4,5,0.232,0.6053,0.732868,0.066576,0.745559,Predicted protein OS=Nematostella vectensis GN=v1g245101 PE=4 SV=1,3278559
m.29511,112,0,1,0,0,0,0,0.191,0.2189,0.998468,0.502,0.621342,Predicted protein OS=Nematostella vectensis GN=v1g245101 PE=4 SV=1,3278559
m.32564,491,3,0,1,0,1,0,-0.328,-0.4493,0.069814,0.646945,0.003849,Predicted protein OS=Nematostella vectensis GN=v1g245123 PE=4 SV=1,3278598
m.5507,231,2,1,6,7,6,4,0.872,1.9845,0,0,0.638899,Predicted protein OS=Nematostella vectensis GN=v1g245328 PE=4 SV=1,3278984
m.16618,108,1,0,0,0,0,0,0.193,0.2263,0.997531,0.494865,0.627567,Predicted protein OS=Nematostella vectensis GN=v1g245366 PE=4 SV=1,3279062
m.34903,171,1,4,0,5,5,5,1.213,2.3557,0,0,0.619534,Predicted protein OS=Nematostella vectensis GN=v1g245425 PE=4 SV=1,3279147
m.8246,632,0,2,1,0,0,0,-0.106,-0.1267,0.859034,0.658031,0.154582,Predicted protein OS=Nematostella vectensis GN=v1g119730 PE=4 SV=1,3279327
m.11744,384,0,1,2,0,0,0,-0.238,-0.2765,0.43162,0.65927,0.037098,Predicted protein OS=Nematostella vectensis GN=v1g245710 PE=4 SV=1,3279690
m.12641,187,0,1,0,0,0,0,0.282,0.316,0.988456,0.394305,0.686689,Predicted protein OS=Nematostella vectensis GN=v1g245862 PE=4 SV=1,3279955
m.20970,243,1,10,0,2,0,1,-0.937,-1.5538,0,0.590309,0,Predicted protein OS=Nematostella vectensis GN=v1g245862 PE=4 SV=1,3279955
m.2297,274,1,1,0,0,0,0,0.208,0.2455,0.995436,0.475484,0.642691,Predicted protein OS=Nematostella vectensis GN=v1g245862 PE=4 SV=1,3279955
m.7976,169,0,3,0,0,0,0,-0.277,-0.3555,0.213995,0.654351,0.014241,Predicted protein OS=Nematostella vectensis GN=v1g245862 PE=4 SV=1,3279955
m.10558,176,10,4,9,6,6,6,-0.028,-0.0859,0.926575,0.65331,0.207611,Predicted protein OS=Nematostella vectensis GN=v1g246076 PE=4 SV=1,3280410
m.2309,217,5,0,0,1,0,1,-0.722,-0.9814,0.000002,0.611679,0,Predicted protein OS=Nematostella vectensis GN=v1g171979 PE=4 SV=1,3280461
m.7628,331,1,0,0,0,0,0,0.182,0.2149,0.998747,0.505778,0.61788,Predicted protein (Fragment) OS=Nematostella vectensis GN=v1g52158 PE=4 SV=1,3280532
m.5439,531,0,0,0,3,2,2,1.103,1.6553,0,0,0.660317,Predicted protein OS=Nematostella vectensis GN=v1g214543 PE=4 SV=1,3280670
m.8075,430,4,3,0,0,0,0,-0.869,-1.1907,0,0.602422,0,Predicted protein OS=Nematostella vectensis GN=v1g246689 PE=4 SV=1,3281548
m.2576,507,0,0,0,3,3,1,1.097,1.4671,0,0,0.674177,Predicted protein OS=Nematostella vectensis GN=v1g246748 PE=4 SV=1,3281663
m.32194,430,3,3,4,0,2,2,-0.525,-0.9314,0.000008,0.614183,0,Predicted protein OS=Nematostella vectensis GN=v1g246919 PE=4 SV=1,3282005
m.12643,211,6,7,7,0,0,0,-1.741,-2.7767,0,0.571696,0,Predicted protein OS=Nematostella vectensis GN=v1g247020 PE=4 SV=1,3282180
m.15507,173,0,3,2,0,0,1,-0.515,-0.677,0.001822,0.629333,0.000075,Predicted protein OS=Nematostella vectensis GN=v1g247020 PE=4 SV=1,3282180
m.7744,503,28,5,16,8,6,8,-0.587,-2.2237,0,0.577361,0,Predicted protein OS=Nematostella vectensis GN=v1g247020 PE=4 SV=1,3282180
m.29414,119,0,0,1,1,0,0,0.124,0.1465,1,0.561835,0.54819,Predicted protein OS=Nematostella vectensis GN=v1g216575 PE=4 SV=1,3282232
m.38847,116,6,4,11,5,10,7,0.301,0.9755,0.01691,0.000451,0.716699,Predicted protein OS=Nematostella vectensis GN=v1g247043 PE=4 SV=1,3282233
m.1981,122,0,0,0,1,0,0,0.127,0.1555,1,0.555373,0.55851,Predicted protein OS=Nematostella vectensis GN=v1g247228 PE=4 SV=1,3282561
m.22377,200,12,9,13,0,0,0,-2.423,-3.5082,0,0.56655,0,Predicted protein OS=Nematostella vectensis GN=v1g247592 PE=4 SV=1,3283281
m.7276,101,1,2,6,0,0,0,-0.971,-1.3331,0,0.597117,0,Predicted protein OS=Nematostella vectensis GN=v1g218031 PE=4 SV=1,3283354
m.21278,311,0,0,1,0,0,0,0.12,0.147,1,0.561483,0.548773,Predicted protein OS=Nematostella vectensis GN=v1g247672 PE=4 SV=1,3283483
m.12662,470,2,0,2,12,12,14,2.326,4.5797,0,0,0.568826,Predicted protein OS=Nematostella vectensis GN=v1g218210 PE=4 SV=1,3283492
m.2937,301,0,1,0,0,0,0,0.204,0.2229,0.99784,0.498165,0.624735,Predicted protein OS=Nematostella vectensis GN=v1g247680 PE=4 SV=1,3283494
m.6492,285,2,1,1,0,3,3,0.733,1.1846,0.000334,0.000008,0.697418,Predicted protein OS=Nematostella vectensis GN=v1g247680 PE=4 SV=1,3283494
m.29201,116,1,1,0,1,2,4,1.169,1.6891,0,0,0.657934,Predicted protein (Fragment) OS=Nematostella vectensis GN=v1g134593 PE=4 SV=1,3283569
m.34458,179,0,3,11,0,0,0,-1.521,-2.2068,0,0.577607,0,Predicted protein OS=Nematostella vectensis GN=v1g218910 PE=4 SV=1,3284016
m.18619,214,9,15,22,10,2,3,-0.915,-3.0435,0,0.56951,0,Predicted protein OS=Nematostella vectensis GN=v1g247951 PE=4 SV=1,3284105
m.27205,150,0,0,1,0,0,0,0.206,0.2239,0.997628,0.497198,0.625572,Predicted protein OS=Nematostella vectensis GN=v1g247951 PE=4 SV=1,3284105
m.13442,270,2,10,2,7,4,5,0.358,0.9663,0.019615,0.000528,0.71758,Predicted protein OS=Nematostella vectensis GN=v1g233699 PE=4 SV=1,3284139
m.11603,537,3,4,2,8,6,7,1.128,2.7236,0,0,0.605026,Predicted protein OS=Nematostella vectensis GN=v1g219291 PE=4 SV=1,3284280
m.13458,645,1,0,1,0,0,0,0.205,0.2223,0.997956,0.498744,0.62423,Predicted protein OS=Nematostella vectensis GN=v1g219291 PE=4 SV=1,3284280
m.14754,356,19,32,23,46,50,52,0.94,6.7714,0,0,0.559562,Predicted protein OS=Nematostella vectensis GN=v1g237612 PE=4 SV=1,3284742
m.24046,310,0,1,0,1,0,1,0.246,0.3055,0.989604,0.407294,0.681182,Predicted protein OS=Nematostella vectensis GN=v1g248223 PE=4 SV=1,3284819
m.9386,745,6,3,4,6,6,5,0.498,1.3209,0.000016,0,0.685752,Predicted protein OS=Nematostella vectensis GN=v1g248372 PE=4 SV=1,3285191
m.3829,120,2,3,0,1,0,2,-0.25,-0.3595,0.205188,0.654057,0.013518,Predicted protein (Fragment) OS=Nematostella vectensis GN=v1g248390 PE=4 SV=1,3285234
m.10365,413,0,0,19,11,11,12,0.722,2.6412,0,0,0.60793,Predicted protein (Fragment) OS=Nematostella vectensis GN=v1g140878 PE=4 SV=1,3285278
m.5128,376,10,3,20,16,17,14,0.599,2.7711,0,0,0.603435,Predicted protein (Fragment) OS=Nematostella vectensis GN=v1g140878 PE=4 SV=1,3285278
m.1321,277,0,0,0,2,1,2,0.706,0.8935,0.058377,0.001747,0.724621,Predicted protein OS=Nematostella vectensis GN=v1g248415 PE=4 SV=1,3285291
m.12945,765,2,2,0,2,3,3,0.697,1.2414,0.000098,0.000002,0.692453,Predicted protein OS=Nematostella vectensis GN=v1g248425 PE=4 SV=1,3285315
m.17323,421,99,106,132,67,78,74,-0.196,-2.3267,0,0.575955,0,Predicted protein OS=Nematostella vectensis GN=v1g220800 PE=3 SV=1,3285395
m.8609,175,0,5,0,27,25,26,2.61,6.9167,0,0,0.559201,Predicted protein OS=Nematostella vectensis GN=v1g220800 PE=3 SV=1,3285395
m.6225,650,1,0,0,0,0,0,0.192,0.2177,0.998588,0.503139,0.62031,Predicted protein OS=Nematostella vectensis GN=v1g221490 PE=4 SV=1,3285893
m.19946,123,1,1,0,0,0,0,0.301,0.3225,0.987705,0.386132,0.689933,Predicted protein OS=Nematostella vectensis GN=v1g222763 PE=4 SV=1,3286966
m.2765,1329,2,0,3,3,3,5,0.847,1.6701,0,0,0.659269,Predicted protein (Fragment) OS=Nematostella vectensis GN=v1g224725 PE=4 SV=1,3288684
m.1027,157,0,0,0,1,0,1,0.285,0.3339,0.986332,0.371579,0.695327,Predicted protein OS=Nematostella vectensis GN=v1g225191 PE=4 SV=1,3289105
m.34713,109,0,2,0,2,2,3,0.798,1.2064,0.00021,0.000005,0.695496,Predicted protein OS=Nematostella vectensis GN=v1g225333 PE=4 SV=1,3289220
m.15370,180,88,45,45,72,70,66,0.391,3.8026,0,0,0.579564,Beta gamma crystallin isoform 10 (Fragment) OS=Montipora capitata PE=2 SV=1,A8C9M0
m.9578,173,64,193,44,181,171,179,0.805,11.7124,0,0,0.556836,Beta gamma crystallin isoform 10 (Fragment) OS=Montipora capitata PE=2 SV=1,A8C9M0
m.20506,179,0,0,0,31,30,27,3.704,6.8012,0,0,0.559486,Predicted protein (Fragment) OS=Nematostella vectensis GN=v1g226089 PE=4 SV=1,3302536
m.22483,250,0,0,0,5,4,4,1.764,2.5503,0,0,0.611356,Predicted protein (Fragment) OS=Nematostella vectensis GN=v1g226089 PE=4 SV=1,3302536
m.32331,329,3,0,1,2,1,0,-0.005,-0.0065,0.994481,0.635929,0.328322,Predicted protein OS=Monosiga brevicollis GN=29277 PE=4 SV=1,3346419
m.15418,181,2,0,3,10,5,6,1.488,3.1851,0,0,0.591679,Predicted protein OS=Monosiga brevicollis GN=29577 PE=4 SV=1,3346723
