Protein,Len,NO,NO,NO,ON,ON,ON,LogFoldChange,Zstatistic,fdr,FDRup,FDRdown,DEFLINE,
m.10061,510,0,0,0,0,1,0,0.353,0.3895,1,0.470431,0.682551,Cytochrome P450 3A11 OS=Mus musculus GN=Cyp3a11 PE=1 SV=1,Q64459
m.1007,159,1,1,0,0,2,0,0.507,0.5904,0.949076,0.203688,0.746251,Polyadenylate-binding protein 1-A OS=Xenopus laevis GN=pabpc1-a PE=1 SV=3,P20965
m.10080,526,22,14,28,21,18,11,0.07,0.3759,1,0.486147,0.67499,Src substrate cortactin OS=Homo sapiens GN=CTTN PE=1 SV=2,Q14247
m.10093,673,3,0,0,2,0,0,0.029,0.0387,0.986296,0.693022,0.29168,Integrin beta-1 OS=Ovis aries GN=ITGB1 PE=2 SV=1,B0FYY4
m.10101,187,1,0,0,0,2,1,0.535,0.6937,0.741855,0.096945,0.752653,Universal stress protein A-like protein OS=Arabidopsis thaliana GN=At3g01520 PE=1 SV=2,Q8LGG8
m.10110,697,1,0,0,1,0,1,0.287,0.3107,0.999841,0.552786,0.630849,Transforming growth factor-beta-induced protein ig-h3 OS=Sus scrofa GN=TGFBI PE=1 SV=1,O11780
m.10111,222,5,3,3,2,8,2,0.364,0.9119,0.147694,0.010099,0.73381,Uncharacterized protein OS=Branchiostoma floridae GN=BRAFLDRAFT_85349 PE=4 SV=1,3660641
m.10117,540,0,0,0,0,0,0,0.25,0.299,0.999816,0.563178,0.621415,Signal peptide peptidase-like 2B OS=Gallus gallus GN=SPPL2B PE=2 SV=1,Q5F383
m.10119,416,0,0,0,0,0,0,0.266,0.2929,1,0.56841,0.616301,AP-3 complex subunit mu-1 OS=Pongo abelii GN=AP3M1 PE=2 SV=1,Q5R478
m.1013,969,1,3,0,0,0,0,-0.366,-0.4948,0.017406,0.677303,0.001061,Nck-associated protein 1 homolog OS=Nematostella vectensis GN=napA PE=3 SV=1,A7RU46
m.10132,182,1,2,0,0,2,0,0.326,0.4535,1,0.389348,0.711669,ADP-ribosylation factor-like protein 8B-A OS=Danio rerio GN=arl8ba PE=2 SV=1,Q6NZW8
m.10133,155,0,0,1,0,1,0,0.308,0.349,1,0.515422,0.658429,Selenoprotein O OS=Mus musculus GN=Selo PE=2 SV=4,Q9DBC0
m.10134,282,0,0,0,0,0,0,0.322,0.3575,1,0.506437,0.663901,Cln5-like protein 1 OS=Dictyostelium discoideum GN=cln5la PE=3 SV=1,Q86JG6
m.10135,467,17,12,8,9,17,16,0.432,1.815,0,0,0.652341,"Succinyl-CoA ligase [ADP-forming] subunit beta, mitochondrial (Fragment) OS=Columba livia GN=SUCLA2 PE=1 SV=1",Q9YI37
m.10138,474,4,2,6,2,2,0,-0.646,-1.1562,0,0.633119,0,Neutrophil cytosol factor 2 OS=Bos taurus GN=NCF2 PE=2 SV=1,O77775
m.10139,271,0,0,0,7,0,1,1.388,2.082,0,0,0.640325,Interphotoreceptor matrix proteoglycan 1 OS=Mus musculus GN=Impg1 PE=1 SV=1,Q8R1W8
m.10145,179,0,0,0,0,1,0,0.218,0.2403,1,0.60838,0.566374,Predicted protein (Fragment) OS=Nematostella vectensis GN=v1g223497 PE=4 SV=1,3287590
m.10146,361,0,0,0,0,1,0,0.305,0.336,1,0.528681,0.649615,Cytoplasmic protein NCK2 OS=Homo sapiens GN=NCK2 PE=1 SV=2,O43639
m.10164,157,1,1,0,0,1,0,0.274,0.3109,0.999842,0.552604,0.631006,m.10164,
m.10166,103,0,0,0,0,0,0,0.238,0.2874,1,0.573019,0.611571,Embryonic stem cell-specific 5-hydroxymethylcytosine-binding protein OS=Xenopus tropicalis GN=hmces PE=2 SV=1,Q6P7N4
m.10168,220,1,0,0,0,2,0,0.617,0.7537,0.556507,0.056994,0.750556,Platelet-activating factor acetylhydrolase IB subunit gamma OS=Mus musculus GN=Pafah1b3 PE=1 SV=1,Q61205
m.10171,529,0,0,0,0,0,0,0.252,0.2632,1,0.59209,0.589412,Cleavage and polyadenylation specificity factor subunit 7 OS=Rattus norvegicus GN=Cpsf7 PE=2 SV=1,Q5XI29
m.10181,285,0,0,0,0,0,0,0.264,0.2968,0.999942,0.56508,0.619587,Geranylgeranyl transferase type-2 subunit alpha OS=Homo sapiens GN=RABGGTA PE=1 SV=2,Q92696
m.10182,249,0,0,2,1,0,0,-0.059,-0.0735,0.822548,0.707195,0.143706,DnaJ homolog subfamily C member 8 OS=Homo sapiens GN=DNAJC8 PE=1 SV=2,O75937
m.10183,616,0,0,0,0,0,0,0.335,0.3865,1,0.473949,0.680928,Nuclear protein localization protein 4 homolog OS=Mus musculus GN=Nploc4 PE=1 SV=3,P60670
m.10194,572,33,41,22,40,47,19,0.4,2.9251,0,0,0.614025,"Aspartate--tRNA ligase, cytoplasmic OS=Rattus norvegicus GN=Dars PE=2 SV=1",P15178
m.10196,145,1,0,0,0,0,0,0.334,0.3729,1,0.489532,0.673251,Glutathione peroxidase 1 OS=Rattus norvegicus GN=Gpx1 PE=1 SV=4,P04041
m.10199,219,18,8,10,15,14,3,0.182,0.7062,0.705597,0.087304,0.752512,Ras-related protein Rab-2 OS=Lymnaea stagnalis GN=RAB2 PE=2 SV=1,Q05975
m.1020,1917,0,1,0,2,0,1,0.549,0.7194,0.665681,0.077896,0.752185,CCR4-NOT transcription complex subunit 1 OS=Mus musculus GN=Cnot1 PE=1 SV=2,Q6ZQ08
m.10205,893,0,0,0,0,0,0,0.226,0.2633,1,0.592015,0.589508,Serine/threonine-protein kinase TAO1 OS=Rattus norvegicus GN=Taok1 PE=1 SV=1,O88664
m.10216,265,0,0,0,0,0,0,0.253,0.2884,1,0.572189,0.612439,m.10216,
m.10239,279,0,1,0,0,0,0,0.238,0.2573,1,0.596447,0.58367,Nucleolysin TIA-1 isoform p40 OS=Homo sapiens GN=TIA1 PE=1 SV=3,P31483
m.1024,399,0,0,0,0,0,0,0.262,0.2862,1,0.574011,0.610524,Uromodulin OS=Homo sapiens GN=UMOD PE=1 SV=1,P07911
m.10254,141,2,1,8,4,1,3,-0.049,-0.1093,0.730302,0.70817,0.108334,m.10254,
m.10255,101,0,0,0,0,0,0,0.322,0.3751,1,0.487052,0.674529,Proteasome assembly chaperone 4 OS=Homo sapiens GN=PSMG4 PE=2 SV=2,Q5JS54
m.1026,324,3,1,0,0,0,0,-0.331,-0.4217,0.047545,0.684642,0.003154,Peroxidasin homolog OS=Homo sapiens GN=PXDN PE=1 SV=2,Q92626
m.10260,232,1,1,0,1,0,0,0.278,0.3133,0.999794,0.550412,0.632879,Putative uncharacterized protein OS=Branchiostoma floridae GN=BRAFLDRAFT_85506 PE=4 SV=1,3665646
m.10264,203,0,0,0,0,0,0,0.165,0.1983,1,0.634108,0.518835,Probable serine/threonine-protein kinase WNK9 OS=Oryza sativa subsp. japonica GN=WNK9 PE=2 SV=1,Q2QXC6
m.10265,194,0,0,0,0,0,0,0.251,0.2818,1,0.577606,0.606639,Putative uncharacterized protein OS=Branchiostoma floridae GN=BRAFLDRAFT_68002 PE=4 SV=1,3667633
m.1027,157,0,0,0,2,0,0,0.66,0.8395,0.298405,0.023625,0.742764,Predicted protein OS=Nematostella vectensis GN=v1g225191 PE=4 SV=1,3289105
m.10277,196,0,0,0,0,0,0,0.243,0.2918,1,0.56934,0.615364,m.10277,
m.10289,705,0,0,0,0,1,0,0.201,0.2322,1,0.613748,0.557737,General vesicular transport factor p115 OS=Bos taurus GN=USO1 PE=1 SV=1,P41541
m.10292,409,0,0,0,0,0,1,0.346,0.398,1,0.460311,0.687014,"Acylglycerol kinase, mitochondrial OS=Homo sapiens GN=AGK PE=1 SV=2",Q53H12
m.103,154,0,0,0,0,0,0,0.231,0.2792,1,0.5797,0.60431,Predicted protein OS=Nematostella vectensis GN=v1g240016 PE=4 SV=1,3269669
m.10303,381,1,0,0,0,1,0,0.312,0.339,1,0.525673,0.651698,"DNA-directed RNA polymerase, mitochondrial OS=Mus musculus GN=Polrmt PE=2 SV=1",Q8BKF1
m.10304,278,22,2,6,8,6,0,-0.411,-1.2734,0,0.62854,0,Hemicentin-1 OS=Homo sapiens GN=HMCN1 PE=1 SV=2,Q96RW7
m.10319,661,0,0,0,0,0,0,0.36,0.409,1,0.446892,0.692503,Splicing regulatory glutamine/lysine-rich protein 1 OS=Homo sapiens GN=SREK1 PE=1 SV=1,Q8WXA9
m.10323,140,0,0,0,0,0,0,0.264,0.2983,0.999809,0.563785,0.620836,Short coiled-coil protein B OS=Danio rerio GN=scocb PE=3 SV=1,Q5XJK1
m.10324,680,12,15,6,13,8,7,0.133,0.4843,1,0.347267,0.722391,"1,4-alpha-glucan-branching enzyme OS=Homo sapiens GN=GBE1 PE=1 SV=3",Q04446
m.10327,1122,0,7,5,2,1,0,-0.921,-1.5333,0,0.620382,0,LIM domain-containing protein 2 OS=Bos taurus GN=LIMD2 PE=2 SV=1,Q1LZA7
m.1033,111,0,0,0,0,4,0,0.949,1.3914,0.000088,0.000003,0.679335,Carbonic anhydrase 7 OS=Mus musculus GN=Ca7 PE=1 SV=2,Q9ERQ8
m.10334,867,0,0,0,0,0,0,0.299,0.3394,1,0.52527,0.651973,Serine/threonine-protein kinase D3 OS=Mus musculus GN=Prkd3 PE=1 SV=1,Q8K1Y2
m.10342,512,0,0,0,0,0,1,0.227,0.2438,1,0.605998,0.570027,Multidrug resistance protein 1 OS=Homo sapiens GN=ABCB1 PE=1 SV=3,P08183
m.10346,250,0,0,0,0,1,1,0.204,0.2398,1,0.608717,0.565848,Scavenger receptor cysteine-rich type 1 protein M160 OS=Homo sapiens GN=CD163L1 PE=1 SV=2,Q9NR16
m.1035,165,0,1,0,1,1,1,0.316,0.352,1,0.51228,0.660387,Ubiquitin-conjugating enzyme E2 G2 OS=Pongo abelii GN=UBE2G2 PE=2 SV=1,Q5RF84
m.10353,112,0,0,0,0,1,0,0.274,0.3103,0.999837,0.553149,0.630534,m.10353,
m.10357,350,0,0,0,0,0,0,0.225,0.2504,1,0.601401,0.576785,WD repeat-containing protein 5 OS=Rattus norvegicus GN=Wdr5 PE=2 SV=1,Q498M4
m.1036,1192,3,0,12,0,2,2,-0.954,-1.9536,0,0.612683,0,Splicing factor 3B subunit 1 OS=Xenopus laevis GN=sf3b1 PE=2 SV=1,O57683
m.10365,413,0,0,19,4,1,0,-1.029,-2.2841,0,0.608151,0,Predicted protein (Fragment) OS=Nematostella vectensis GN=v1g140878 PE=4 SV=1,3285278
m.10373,1031,0,0,0,0,1,0,0.101,0.1179,1,0.670396,0.410545,Partitioning defective 3 homolog OS=Mus musculus GN=Pard3 PE=1 SV=2,Q99NH2
m.10374,1005,1,1,3,0,1,0,-0.304,-0.4118,0.054013,0.68566,0.003628,Nuclear pore complex protein Nup153 OS=Xenopus laevis GN=nup153 PE=1 SV=1,Q640Z6
m.10378,725,9,8,5,5,2,0,-0.766,-1.7769,0,0.615293,0,Uncharacterized protein RSN1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=RSN1 PE=1 SV=1,Q03516
m.1038,113,18,14,28,21,16,9,0.036,0.1768,1,0.645364,0.491928,Death-associated protein 1 OS=Homo sapiens GN=DAP PE=1 SV=3,P51397
m.10382,296,0,0,0,2,0,1,0.526,0.673,0.797159,0.114506,0.752494,Glutamate--cysteine ligase regulatory subunit OS=Rattus norvegicus GN=Gclm PE=1 SV=1,P48508
m.10387,484,12,14,8,16,13,3,0.251,0.9836,0.064404,0.003961,0.724223,Laccase domain-containing protein 1 OS=Homo sapiens GN=LACC1 PE=1 SV=1,Q8IV20
m.10393,233,2,2,0,0,0,3,0.304,0.4765,1,0.358039,0.719854,Semaphorin-5B OS=Mus musculus GN=Sema5b PE=2 SV=2,Q60519
m.104,1674,131,128,123,210,174,155,0.652,9.8111,0,0,0.591273,Clathrin heavy chain 1 OS=Mus musculus GN=Cltc PE=1 SV=3,Q68FD5
m.1041,396,2,0,7,3,1,1,-0.516,-0.94,0.000004,0.643646,0,"KH domain-containing, RNA-binding, signal transduction-associated protein 2 OS=Xenopus tropicalis GN=khdrbs2 PE=2 SV=1",Q0VFL3
m.1042,331,1,0,1,1,2,1,0.628,0.7258,0.645828,0.073615,0.751963,Uroporphyrinogen decarboxylase OS=Danio rerio GN=urod PE=2 SV=1,Q9PTS2
m.10423,229,0,0,0,0,0,0,0.285,0.3244,0.999833,0.540012,0.64128,Putative L-aspartate dehydrogenase OS=Xenopus tropicalis GN=aspdh PE=2 SV=1,Q5FW48
m.1044,836,0,0,0,0,0,0,0.304,0.3551,1,0.509,0.66238,Coiled-coil and C2 domain-containing protein 1-like OS=Drosophila pseudoobscura pseudoobscura GN=GA18377 PE=3 SV=2,Q29M42
m.10457,752,0,0,1,0,0,0,0.245,0.2774,1,0.581137,0.602683,Probable ATP-dependent RNA helicase DDX4 OS=Xenopus laevis GN=ddx4 PE=2 SV=1,Q91372
m.10462,456,0,0,0,0,0,0,0.303,0.3548,1,0.509319,0.662188,Serine/threonine-protein kinase 38-like OS=Homo sapiens GN=STK38L PE=1 SV=3,Q9Y2H1
m.10463,220,0,1,1,2,3,0,1.026,1.3182,0.00036,0.000014,0.68559,Parkinson disease 7 domain-containing protein 1 OS=Xenopus laevis GN=pddc1 PE=2 SV=1,Q32NG4
m.10468,320,27,22,14,20,14,30,0.324,1.8037,0,0,0.652916,m.10468,
m.10469,238,0,0,0,0,1,0,0.264,0.3029,0.999899,0.559767,0.624615,Proteasome activator complex subunit 3 OS=Sus scrofa GN=PSME3 PE=2 SV=1,P61291
m.10472,547,5,7,1,9,3,4,0.53,1.393,0.000085,0.000003,0.679206,Interferon-induced guanylate-binding protein 1 OS=Chlorocebus aethiops GN=GBP1 PE=2 SV=1,Q5D1D6
m.10484,222,0,1,0,0,0,0,0.259,0.3165,0.999765,0.547458,0.635344,Coiled-coil domain-containing protein 124-A OS=Xenopus laevis GN=ccdc124-a PE=2 SV=1,Q68EY7
m.10496,298,63,30,67,44,30,24,-0.186,-1.4448,0,0.622857,0,Alcohol dehydrogenase [NADP(+)] OS=Pongo abelii GN=AKR1A1 PE=2 SV=1,Q5R5D5
m.10498,209,0,0,0,0,0,0,0.215,0.2549,1,0.598187,0.581297,m.10498,
m.10499,214,3,2,0,0,0,3,0.077,0.1239,1,0.668201,0.419264,"Methylglutaconyl-CoA hydratase, mitochondrial OS=Homo sapiens GN=AUH PE=1 SV=1",Q13825
m.1050,816,0,0,0,0,0,0,0.249,0.2841,1,0.575736,0.608679,m.1050,
m.1054,285,25,19,26,24,29,25,0.413,2.5956,0,0,0.622274,E3 ubiquitin-protein ligase TRIM71 OS=Homo sapiens GN=TRIM71 PE=1 SV=1,Q2Q1W2
m.10543,123,0,0,0,0,0,0,0.286,0.3446,1,0.519976,0.655507,Dimethylaniline monooxygenase [N-oxide-forming] 3 OS=Canis familiaris GN=FMO3 PE=2 SV=3,Q95LA1
m.10547,1648,0,1,0,1,1,0,0.234,0.2663,1,0.589756,0.592374,Serine/threonine-protein kinase WNK1 OS=Rattus norvegicus GN=Wnk1 PE=1 SV=2,Q9JIH7
m.10556,217,0,0,0,0,0,0,0.234,0.2785,1,0.58026,0.603679,Predicted protein OS=Nematostella vectensis GN=v1g247020 PE=4 SV=1,3282180
m.10557,131,3,3,2,1,2,3,-0.03,-0.054,0.865063,0.706027,0.165706,SNARE-associated protein Snapin OS=Homo sapiens GN=SNAPIN PE=1 SV=1,O95295
m.10558,176,10,4,9,7,9,7,0.307,0.9923,0.057773,0.003513,0.723054,Predicted protein OS=Nematostella vectensis GN=v1g246076 PE=4 SV=1,3280410
m.1056,473,0,0,0,0,0,0,0.307,0.3712,1,0.491438,0.672254,Regulator of G-protein signaling 7 OS=Bos taurus GN=RGS7 PE=1 SV=1,O46470
m.10560,427,17,16,11,19,22,17,0.571,2.7103,0,0,0.619131,PH domain-containing protein DDB_G0267786 OS=Dictyostelium discoideum GN=DDB_G0267786 PE=4 SV=1,Q55G75
m.10567,295,0,0,4,0,0,0,-0.51,-0.6685,0.001058,0.661887,0.000054,Transmembrane protease serine 3 OS=Mus musculus GN=Tmprss3 PE=1 SV=2,Q8K1T0
m.10575,652,4,3,5,1,2,3,-0.422,-0.8156,0.000063,0.651226,0.000003,Grainyhead-like protein 2 homolog OS=Mus musculus GN=Grhl2 PE=2 SV=1,Q8K5C0
m.10586,414,0,0,4,1,1,0,-0.478,-0.6591,0.001249,0.662639,0.000064,N-acyl-phosphatidylethanolamine-hydrolyzing phospholipase D OS=Homo sapiens GN=NAPEPLD PE=1 SV=2,Q6IQ20
m.10597,345,1,0,2,3,0,0,0.545,0.7166,0.674307,0.079826,0.752269,Serine/threonine-protein phosphatase 4 regulatory subunit 2 OS=Drosophila melanogaster GN=PPP4R2r PE=1 SV=2,Q9W2U4
m.10598,316,0,0,0,0,0,0,0.273,0.3334,1,0.531262,0.647785,Predicted protein OS=Nematostella vectensis GN=v1g233708 PE=4 SV=1,3284217
m.1060,147,2,4,1,3,1,7,0.798,1.6203,0,0,0.663267,Calmodulin OS=Renilla reniformis PE=1 SV=2,P62184
m.10600,201,1,3,0,0,0,0,-0.319,-0.379,0.081144,0.689049,0.005696,"Frataxin, mitochondrial OS=Bos taurus GN=FXN PE=2 SV=1",Q05B87
m.10601,162,0,0,0,0,1,0,0.312,0.3627,1,0.500819,0.667139,Probable 8-oxo-dGTP diphosphatase NUDT15 OS=Mus musculus GN=Nudt15 PE=1 SV=1,Q8BG93
m.10605,698,4,4,5,4,5,0,0.021,0.0475,0.991794,0.691062,0.304865,Peptidyl-glycine alpha-amidating monooxygenase A OS=Xenopus laevis GN=pam-a PE=1 SV=3,P08478
m.10613,219,1,1,0,0,0,0,0.179,0.2126,1,0.625924,0.535784,m.10613,
m.10621,420,1,10,15,4,12,0,-0.133,-0.4264,0.044718,0.68416,0.002949,Creatine kinase B-type OS=Bos taurus GN=CKB PE=2 SV=1,Q5EA61
m.10630,336,0,0,0,0,0,0,0.322,0.3556,1,0.508468,0.662698,LIM and senescent cell antigen-like-containing domain protein 1 OS=Mus musculus GN=Lims1 PE=1 SV=3,Q99JW4
m.10633,281,0,0,0,0,0,0,0.316,0.3651,1,0.498194,0.668605,N-acylglucosamine 2-epimerase OS=Mus musculus GN=Renbp PE=1 SV=3,P82343
m.10642,392,0,3,0,0,0,0,-0.292,-0.384,0.076384,0.688531,0.005325,Developmentally-regulated GTP-binding protein 1 OS=Xenopus laevis GN=drg1 PE=2 SV=1,P43690
m.10645,257,1,4,0,0,1,1,-0.456,-0.609,0.002944,0.666808,0.000159,m.10645,
m.10676,104,2,2,2,2,1,0,-0.177,-0.2439,0.324022,0.702137,0.02964,Haloacid dehalogenase-like hydrolase domain-containing protein 2 OS=Bos taurus GN=HDHD2 PE=2 SV=1,Q3ZCH9
m.10687,410,0,0,0,0,0,0,0.254,0.289,1,0.571689,0.612958,m.10687,
m.1069,424,8,11,5,4,5,8,-0.05,-0.1493,0.610728,0.707725,0.076547,T-complex protein 1 subunit gamma OS=Bos taurus GN=CCT3 PE=1 SV=1,Q3T0K2
m.10693,451,3,1,1,3,2,1,0.445,0.7219,0.657877,0.076202,0.752103,Fibrillin-2 OS=Mus musculus GN=Fbn2 PE=1 SV=2,Q61555
m.107,99,14,20,11,9,16,6,-0.082,-0.376,0.084116,0.689359,0.005931,m.107,
m.10713,218,20,23,25,19,15,19,0.051,0.2674,1,0.58892,0.593417,Ras-related protein Rab-11A OS=Rattus norvegicus GN=Rab11a PE=1 SV=3,P62494
m.10714,429,27,27,38,20,11,10,-0.511,-2.6578,0,0.603615,0,Septin-8 OS=Xenopus tropicalis GN=sept8 PE=2 SV=1,B1H120
m.10723,443,2,1,0,2,7,2,1.332,2.3083,0,0,0.631541,GDP-fucose protein O-fucosyltransferase 2 OS=Mus musculus GN=Pofut2 PE=1 SV=1,Q8VHI3
m.10726,1630,10,4,5,7,2,3,-0.172,-0.4622,0.027613,0.680529,0.001746,Collagen alpha-2(I) chain OS=Rattus norvegicus GN=Col1a2 PE=1 SV=3,P02466
m.1073,371,9,27,13,1,0,3,-2.039,-4.3977,0,0.594785,0,Tropomodulin-2 OS=Homo sapiens GN=TMOD2 PE=1 SV=1,Q9NZR1
m.10735,447,0,0,0,0,0,0,0.22,0.2649,1,0.590814,0.59104,E3 ubiquitin-protein ligase parkin OS=Rattus norvegicus GN=Park2 PE=1 SV=1,Q9JK66
m.1074,292,0,1,14,23,10,4,1.159,4.0645,0,0,0.601132,Phytanoyl-CoA dioxygenase domain-containing protein 1 OS=Homo sapiens GN=PHYHD1 PE=1 SV=2,Q5SRE7
m.10744,282,17,9,14,11,27,17,0.609,2.9106,0,0,0.614334,Sorbitol dehydrogenase OS=Ovis aries GN=SORD PE=1 SV=1,P07846
m.10756,2004,1,1,0,1,0,0,0.185,0.2091,1,0.627981,0.531707,Tyrosine-protein phosphatase non-receptor type 23 (Fragment) OS=Rattus norvegicus GN=Ptpn23 PE=1 SV=2,O88902
m.10763,330,0,0,0,0,2,0,0.494,0.5897,0.949858,0.20456,0.746156,m.10763,
m.10765,227,0,0,0,0,0,0,0.263,0.3094,0.999816,0.553964,0.629825,m.10765,
m.10767,590,0,0,0,0,0,0,0.272,0.3031,0.999895,0.55959,0.624778,Pericentriolar material 1 protein OS=Gallus gallus GN=PCM1 PE=2 SV=1,Q8AV28
m.10779,234,0,0,0,1,0,1,0.191,0.2241,1,0.618918,0.548845,Ran GTPase-activating protein 1 OS=Xenopus laevis GN=rangap1 PE=2 SV=1,O13066
m.10784,177,0,0,0,0,0,0,0.189,0.213,1,0.625687,0.536247,ADP-ribosylation factor 1 OS=Solanum tuberosum PE=2 SV=2,P51824
m.10790,402,1,1,1,3,0,2,1.007,1.2832,0.000681,0.000028,0.688846,4-hydroxyphenylpyruvate dioxygenase-like protein OS=Rattus norvegicus GN=Hpdl PE=2 SV=1,Q5XIH9
m.10801,1026,0,0,0,0,0,0,0.206,0.2248,1,0.618479,0.549623,Ubiquitin carboxyl-terminal hydrolase 25 OS=Mus musculus GN=Usp25 PE=1 SV=2,P57080
m.10807,572,82,92,82,58,38,46,-0.288,-2.8076,0,0.601946,0,Predicted protein OS=Nematostella vectensis GN=v1g197490 PE=4 SV=1,3267080
m.10812,189,11,3,0,3,6,0,-0.086,-0.2116,0.416109,0.704591,0.041793,Agrin OS=Gallus gallus GN=AGRN PE=1 SV=3,P31696
m.10816,192,3,1,1,5,7,5,1.531,3.1333,0,0,0.610161,THAP domain-containing protein 4 OS=Mus musculus GN=Thap4 PE=2 SV=1,Q6P3Z3
m.10817,422,2,0,4,1,0,0,-0.663,-0.902,0.00001,0.645834,0,Synapsin-2 OS=Rattus norvegicus GN=Syn2 PE=1 SV=1,Q63537
m.10818,372,4,1,9,15,7,2,0.878,2.4885,0,0,0.625471,Arylsulfatase I OS=Mus musculus GN=Arsi PE=2 SV=1,Q32KI9
m.10820,447,0,0,1,0,0,0,0.258,0.2937,1,0.567732,0.61698,"Beta-1,3-glucosyltransferase OS=Mus musculus GN=B3galtl PE=2 SV=3",Q8BHT6
m.10831,206,2,6,0,0,4,0,-0.119,-0.216,0.402963,0.704284,0.039928,Latrophilin Cirl OS=Drosophila pseudoobscura pseudoobscura GN=Cirl PE=3 SV=2,Q292N4
m.10838,128,0,0,0,0,0,0,0.29,0.324,0.999795,0.540394,0.640984,Nicotinate phosphoribosyltransferase OS=Drosophila melanogaster GN=CG3714 PE=2 SV=2,Q9VQX4
m.10852,208,6,6,1,8,5,3,0.508,1.3557,0.000177,0.000007,0.682297,Maleylacetoacetate isomerase OS=Mus musculus GN=Gstz1 PE=1 SV=1,Q9WVL0
m.10862,241,0,0,0,0,0,0,0.275,0.3048,0.999832,0.558085,0.626154,Ubiquitin thioesterase OTUB1 OS=Rattus norvegicus GN=Otub1 PE=1 SV=1,B2RYG6
m.10878,258,4,0,10,1,7,0,-0.247,-0.5493,0.007687,0.672127,0.000442,Splicing factor 3A subunit 2 OS=Homo sapiens GN=SF3A2 PE=1 SV=2,Q15428
m.10881,279,0,0,0,0,0,0,0.133,0.1619,1,0.652465,0.472327,Cytochrome P450 3A41 OS=Mus musculus GN=Cyp3a41a PE=2 SV=2,Q9JMA7
m.10883,471,18,29,46,46,30,38,0.509,3.7051,0,0,0.603843,"Serine hydroxymethyltransferase, mitochondrial OS=Homo sapiens GN=SHMT2 PE=1 SV=3",P34897
m.10886,397,0,4,4,4,1,2,0.017,0.0313,0.980944,0.694565,0.280685,Phospholipase D3 OS=Xenopus laevis GN=pld3 PE=2 SV=1,Q6PB03
m.1089,117,38,4,34,33,22,16,0.241,1.5838,0.000001,0,0.665565,"ATP synthase-coupling factor 6, mitochondrial OS=Rattus norvegicus GN=Atp5j PE=1 SV=1",P21571
m.10893,298,31,46,47,23,16,16,-0.516,-3.2542,0,0.59852,0,Tropomyosin alpha-1 chain OS=Liza aurata PE=1 SV=1,P84335
m.10899,216,0,0,0,0,0,0,0.399,0.4419,1,0.404791,0.707116,Protein rolling stone OS=Drosophila melanogaster GN=rost PE=2 SV=2,O44252
m.10901,228,1,2,0,1,1,1,-0.071,-0.0893,0.784025,0.707802,0.127282,m.10901,
m.10905,398,16,14,8,13,11,4,-0.008,-0.0328,0.904086,0.704189,0.191674,26S proteasome non-ATPase regulatory subunit 11 OS=Xenopus tropicalis GN=psmd11 PE=3 SV=2,F6XBL2
