Protein,Len,NN,NN,NN,NO,NO,NO,LogFoldChange,Zstatistic,fdr,FDRup,FDRdown,DEFLINE
m.10327,1122,12,7,6,0,7,5,-0.75,-2.1828,0.384396,1,0.113308,LIM domain-containing protein 2 OS=Bos taurus GN=LIMD2 PE=2 SV=1
m.1035,165,0,0,0,0,1,0,-0.091,-0.1007,0.452418,1,0.947101,Ubiquitin-conjugating enzyme E2 G2 OS=Pongo abelii GN=UBE2G2 PE=2 SV=1
symbB1.EST_k37c20_4340|m.10357,1335,1,0,1,1,0,0,-0.137,-0.1574,0.450531,0.954763,1,symbB1.EST_k37c20_4340 g.10357  ORF symbB1.EST_k37c20_4340 g.10357 symbB1.EST_k37c20_4340 m.10357 type:complete len:1335 (+) symbB1.EST_k37c20_4340:37-4041(+)
m.1036,1192,0,2,7,3,0,12,0.414,1.0033,1,0.861197,0.991772,Splicing factor 3B subunit 1 OS=Xenopus laevis GN=sf3b1 PE=2 SV=1
m.10365,413,3,0,10,0,0,19,0.326,0.9604,1,0.908131,0.988888,Predicted protein (Fragment) OS=Nematostella vectensis GN=v1g140878 PE=4 SV=1
m.10374,1005,1,0,7,1,1,3,-0.701,-1.2518,1,0.995403,0.840893,Nuclear pore complex protein Nup153 OS=Xenopus laevis GN=nup153 PE=1 SV=1
m.10378,725,4,9,5,9,8,5,0.127,0.368,1,1,0.888615,Uncharacterized protein RSN1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=RSN1 PE=1 SV=1
m.1038,113,17,20,19,18,14,28,-0.014,-0.0744,0.464165,1,0.92142,Death-associated protein 1 OS=Homo sapiens GN=DAP PE=1 SV=3
m.10387,484,9,12,9,12,14,8,0.032,0.1303,0.869597,1,0.842776,Laccase domain-containing protein 1 OS=Homo sapiens GN=LACC1 PE=1 SV=1
m.10393,233,0,0,0,2,2,0,0.429,0.5921,1,1,0.941252,Semaphorin-5B OS=Mus musculus GN=Sema5b PE=2 SV=2
m.104,1674,76,69,269,131,128,123,-0.148,-2.1157,0.444285,1,0.138187,Clathrin heavy chain 1 OS=Mus musculus GN=Cltc PE=1 SV=3
m.1041,396,1,2,3,2,0,7,0.449,0.8697,1,1,0.981227,"KH domain-containing, RNA-binding, signal transduction-associated protein 2 OS=Xenopus tropicalis GN=khdrbs2 PE=2 SV=1"
m.1042,331,0,1,0,1,0,1,-0.131,-0.1506,0.44909,0.963248,1,Uroporphyrinogen decarboxylase OS=Danio rerio GN=urod PE=2 SV=1
m.10457,752,0,0,0,0,0,1,-0.093,-0.1057,0.450977,1,0.954825,Probable ATP-dependent RNA helicase DDX4 OS=Xenopus laevis GN=ddx4 PE=2 SV=1
m.10463,220,1,0,1,0,1,1,-0.112,-0.1349,0.44751,0.981208,0.988759,Parkinson disease 7 domain-containing protein 1 OS=Xenopus laevis GN=pddc1 PE=2 SV=1
m.10468,320,16,24,24,27,22,14,-0.087,-0.4894,1,0.848002,1,m.10468
m.10472,547,1,4,4,5,7,1,0.276,0.5605,1,1,0.934582,Interferon-induced guanylate-binding protein 1 OS=Chlorocebus aethiops GN=GBP1 PE=2 SV=1
m.10484,222,2,1,0,0,1,0,-0.414,-0.5114,1,0.853102,1,Coiled-coil domain-containing protein 124-A OS=Xenopus laevis GN=ccdc124-a PE=2 SV=1
m.10496,298,50,35,71,63,30,67,-0.05,-0.4299,0.998985,0.838731,1,Alcohol dehydrogenase [NADP(+)] OS=Pongo abelii GN=AKR1A1 PE=2 SV=1
m.10498,209,0,1,0,0,0,0,-0.201,-0.2223,0.48814,0.8913,1,m.10498
m.10499,214,0,1,0,3,2,0,0.657,0.8446,1,1,0.978571,"Methylglutaconyl-CoA hydratase, mitochondrial OS=Homo sapiens GN=AUH PE=1 SV=1"
m.1054,285,23,25,28,25,19,26,-0.139,-0.8478,1,0.93777,1,E3 ubiquitin-protein ligase TRIM71 OS=Homo sapiens GN=TRIM71 PE=1 SV=1
m.10547,1648,1,0,2,0,1,0,-0.463,-0.5605,1,0.864729,1,Serine/threonine-protein kinase WNK1 OS=Rattus norvegicus GN=Wnk1 PE=1 SV=2
m.10557,131,5,5,5,3,3,2,-0.757,-1.6172,1,1,0.466931,SNARE-associated protein Snapin OS=Homo sapiens GN=SNAPIN PE=1 SV=1
m.10558,176,13,7,4,10,4,9,-0.13,-0.4311,1,0.838983,1,Predicted protein OS=Nematostella vectensis GN=v1g246076 PE=4 SV=1
m.10560,427,8,15,15,17,16,11,0.085,0.4007,1,1,0.89724,PH domain-containing protein DDB_G0267786 OS=Dictyostelium discoideum GN=DDB_G0267786 PE=4 SV=1
m.10567,295,0,0,1,0,0,4,0.662,0.9227,1,0.950087,0.985936,Transmembrane protease serine 3 OS=Mus musculus GN=Tmprss3 PE=1 SV=2
m.10575,652,4,3,4,4,3,5,0.034,0.0903,0.735968,1,0.84449,Grainyhead-like protein 2 homolog OS=Mus musculus GN=Grhl2 PE=2 SV=1
m.10586,414,1,0,2,0,0,4,0.303,0.4369,1,1,0.90627,N-acyl-phosphatidylethanolamine-hydrolyzing phospholipase D OS=Homo sapiens GN=NAPEPLD PE=1 SV=2
m.10597,345,0,1,3,1,0,2,-0.364,-0.5235,1,0.855858,1,Serine/threonine-protein phosphatase 4 regulatory subunit 2 OS=Drosophila melanogaster GN=PPP4R2r PE=1 SV=2
m.1060,147,1,6,4,2,4,1,-0.534,-1.0727,1,0.97676,1,Calmodulin OS=Renilla reniformis PE=1 SV=2
m.10600,201,6,1,0,1,3,0,-0.578,-1.0114,1,0.967914,1,"Frataxin, mitochondrial OS=Bos taurus GN=FXN PE=2 SV=1"
m.10605,698,5,5,7,4,4,5,-0.359,-0.9559,1,0.95896,1,Peptidyl-glycine alpha-amidating monooxygenase A OS=Xenopus laevis GN=pam-a PE=1 SV=3
m.10613,219,1,0,0,1,1,0,-0.104,-0.1133,0.44927,1,0.962851,m.10613
m.10621,420,0,12,24,1,10,15,-0.421,-1.5862,1,1,0.495834,Creatine kinase B-type OS=Bos taurus GN=CKB PE=2 SV=1
symbB1.EST_k37c20_4454|m.10626,401,1,0,1,0,1,0,-0.123,-0.1402,0.447776,0.975076,0.994883,symbB1.EST_k37c20_4454 g.10626  ORF symbB1.EST_k37c20_4454 g.10626 symbB1.EST_k37c20_4454 m.10626 type:5prime_partial len:401 (-) symbB1.EST_k37c20_4454:122-1324(-)
symbB1.EST_k37c20_4455|m.10629,100,0,1,0,0,2,0,0.256,0.2945,1,1,0.869633,symbB1.EST_k37c20_4455 g.10629  ORF symbB1.EST_k37c20_4455 g.10629 symbB1.EST_k37c20_4455 m.10629 type:complete len:100 (-) symbB1.EST_k37c20_4455:94-393(-)
m.10642,392,0,1,1,0,3,0,0.481,0.554,1,1,0.933596,Developmentally-regulated GTP-binding protein 1 OS=Xenopus laevis GN=drg1 PE=2 SV=1
m.10645,257,1,7,0,1,4,0,-0.55,-0.9371,1,0.955592,1,m.10645
m.10676,104,2,0,2,2,2,2,0.129,0.207,1,1,0.850525,Haloacid dehalogenase-like hydrolase domain-containing protein 2 OS=Bos taurus GN=HDHD2 PE=2 SV=1
m.1069,424,6,8,8,8,11,5,0.026,0.0898,0.73449,1,0.844488,T-complex protein 1 subunit gamma OS=Bos taurus GN=CCT3 PE=1 SV=1
m.10693,451,2,2,2,3,1,1,-0.26,-0.4315,1,0.838982,1,Fibrillin-2 OS=Mus musculus GN=Fbn2 PE=1 SV=2
m.107,99,24,8,16,14,20,11,-0.136,-0.6819,1,0.897996,1,m.107
m.10713,218,18,19,33,20,23,25,-0.111,-0.626,1,0.882568,1,Ras-related protein Rab-11A OS=Rattus norvegicus GN=Rab11a PE=1 SV=3
m.10714,429,13,31,33,27,27,38,0.103,0.6411,1,1,0.950043,Septin-8 OS=Xenopus tropicalis GN=sept8 PE=2 SV=1
m.10723,443,0,4,1,2,1,0,-0.537,-0.7306,1,0.910396,1,GDP-fucose protein O-fucosyltransferase 2 OS=Mus musculus GN=Pofut2 PE=1 SV=1
m.10726,1630,3,3,13,10,4,5,-0.053,-0.1584,0.450782,0.952011,1,Collagen alpha-2(I) chain OS=Rattus norvegicus GN=Col1a2 PE=1 SV=3
m.1073,371,13,25,7,9,27,13,-0.002,-0.0117,0.522904,1,0.876619,Tropomodulin-2 OS=Homo sapiens GN=TMOD2 PE=1 SV=1
m.1074,292,0,2,19,0,1,14,-0.386,-1.1373,1,0.98483,0.967836,Phytanoyl-CoA dioxygenase domain-containing protein 1 OS=Homo sapiens GN=PHYHD1 PE=1 SV=2
m.10744,282,22,7,14,17,9,14,-0.154,-0.6952,1,0.901147,1,Sorbitol dehydrogenase OS=Ovis aries GN=SORD PE=1 SV=1
m.10756,2004,1,1,0,1,1,0,-0.133,-0.147,0.448519,0.966152,1,Tyrosine-protein phosphatase non-receptor type 23 (Fragment) OS=Rattus norvegicus GN=Ptpn23 PE=1 SV=2
m.10779,234,1,0,0,0,0,0,-0.155,-0.1921,0.465108,0.917279,1,Ran GTPase-activating protein 1 OS=Xenopus laevis GN=rangap1 PE=2 SV=1
m.10790,402,1,1,1,1,1,1,-0.146,-0.1701,0.454447,0.938787,1,4-hydroxyphenylpyruvate dioxygenase-like protein OS=Rattus norvegicus GN=Hpdl PE=2 SV=1
m.10807,572,86,107,71,82,92,82,-0.111,-1.2478,1,0.995039,0.846118,Predicted protein OS=Nematostella vectensis GN=v1g197490 PE=4 SV=1
m.10812,189,2,2,1,11,3,0,1.09,1.9265,0.490029,0.098917,1,Agrin OS=Gallus gallus GN=AGRN PE=1 SV=3
m.10816,192,10,5,0,3,1,1,-1.277,-2.2998,0.299132,1,0.079023,THAP domain-containing protein 4 OS=Mus musculus GN=Thap4 PE=2 SV=1
m.10817,422,3,2,5,2,0,4,-0.464,-0.9482,1,0.957712,1,Synapsin-2 OS=Rattus norvegicus GN=Syn2 PE=1 SV=1
m.10818,372,5,2,7,4,1,9,-0.095,-0.2616,0.534126,0.867093,1,Arylsulfatase I OS=Mus musculus GN=Arsi PE=2 SV=1
m.10820,447,0,0,1,0,0,1,-0.044,-0.0527,0.479354,1,0.903444,"Beta-1,3-glucosyltransferase OS=Mus musculus GN=B3galtl PE=2 SV=3"
m.10831,206,1,2,0,2,6,0,0.761,1.2585,1,0.589442,1,Latrophilin Cirl OS=Drosophila pseudoobscura pseudoobscura GN=Cirl PE=3 SV=2
symbB1.EST_k37c20_4529|m.10833,454,0,0,6,0,0,0,-1.132,-1.5608,1,1,0.52077,symbB1.EST_k37c20_4529 g.10833  ORF symbB1.EST_k37c20_4529 g.10833 symbB1.EST_k37c20_4529 m.10833 type:complete len:454 (+) symbB1.EST_k37c20_4529:89-1450(+)
symbB1.EST_k37c20_4530|m.10835,1086,0,1,6,0,0,0,-1.167,-1.5512,1,1,0.52994,symbB1.EST_k37c20_4530 g.10835  ORF symbB1.EST_k37c20_4530 g.10835 symbB1.EST_k37c20_4530 m.10835 type:complete len:1086 (-) symbB1.EST_k37c20_4530:193-3450(-)
m.10852,208,10,3,2,6,6,1,-0.24,-0.6287,1,0.883216,1,Maleylacetoacetate isomerase OS=Mus musculus GN=Gstz1 PE=1 SV=1
m.10878,258,0,4,9,4,0,10,0.002,0.0066,0.549274,1,0.86702,Splicing factor 3A subunit 2 OS=Homo sapiens GN=SF3A2 PE=1 SV=2
m.10883,471,10,24,52,18,29,46,0.007,0.049,0.629236,1,0.851798,"Serine hydroxymethyltransferase, mitochondrial OS=Homo sapiens GN=SHMT2 PE=1 SV=3"
m.10886,397,10,4,0,0,4,4,-0.624,-1.4253,1,1,0.655872,Phospholipase D3 OS=Xenopus laevis GN=pld3 PE=2 SV=1
m.1089,117,36,11,32,38,4,34,-0.108,-0.6417,1,0.887099,1,"ATP synthase-coupling factor 6, mitochondrial OS=Rattus norvegicus GN=Atp5j PE=1 SV=1"
m.10893,298,42,71,54,31,46,47,-0.369,-2.9389,0.03323,0.993276,0.006987,Tropomyosin alpha-1 chain OS=Liza aurata PE=1 SV=1
m.10901,228,0,1,1,1,2,0,0.21,0.2789,1,1,0.866132,m.10901
symbB1.EST_k37c20_4560|m.10902,412,0,2,1,0,0,0,-0.412,-0.4632,1,0.843207,1,symbB1.EST_k37c20_4560 g.10902  ORF symbB1.EST_k37c20_4560 g.10902 symbB1.EST_k37c20_4560 m.10902 type:5prime_partial len:412 (+) symbB1.EST_k37c20_4560:2-1237(+)
m.10905,398,7,13,7,16,14,8,0.264,1.0052,1,0.858599,0.99192,26S proteasome non-ATPase regulatory subunit 11 OS=Xenopus tropicalis GN=psmd11 PE=3 SV=2
m.10909,251,3,0,1,2,0,1,-0.371,-0.5273,1,0.856422,1,Dorsal-ventral patterning tolloid-like protein 1 OS=Danio rerio GN=tll1 PE=2 SV=1
m.10914,217,1,0,4,0,2,1,-0.509,-0.8046,1,0.92827,1,Ras-related protein Rab-14 OS=Pongo abelii GN=RAB14 PE=2 SV=3
m.10938,346,10,6,0,6,7,5,-0.054,-0.1573,0.450508,0.954764,1,Arsenite methyltransferase OS=Rattus norvegicus GN=As3mt PE=1 SV=1
m.10942,329,0,0,0,0,1,0,-0.097,-0.1118,0.449565,1,0.96014,E3 ubiquitin-protein ligase LRSAM1 OS=Mus musculus GN=Lrsam1 PE=2 SV=1
m.10944,532,0,0,0,1,0,0,-0.213,-0.2508,0.519555,0.872385,1,E3 ubiquitin-protein ligase BRE1B OS=Rattus norvegicus GN=Rnf40 PE=1 SV=1
symbB1.EST_k37c20_469|m.1095,2136,0,0,3,0,0,1,-0.696,-0.9157,1,0.951645,1,symbB1.EST_k37c20_469 g.1095  ORF symbB1.EST_k37c20_469 g.1095 symbB1.EST_k37c20_469 m.1095 type:complete len:2136 (+) symbB1.EST_k37c20_469:78-6485(+)
symbB1.EST_k37c20_4585|m.10961,135,2,5,16,3,7,10,-0.222,-0.7164,1,0.906737,1,symbB1.EST_k37c20_4585 g.10961  ORF symbB1.EST_k37c20_4585 g.10961 symbB1.EST_k37c20_4585 m.10961 type:complete len:135 (-) symbB1.EST_k37c20_4585:62-466(-)
m.10974,566,3,10,20,14,10,6,-0.183,-0.7211,1,0.907963,1,Bifunctional purine biosynthesis protein PURH OS=Gallus gallus GN=ATIC PE=1 SV=1
m.110,1165,120,177,81,137,197,92,0.046,0.6491,1,1,0.9517,Lethal(2) giant larvae protein homolog 1 OS=Mus musculus GN=Llgl1 PE=1 SV=1
m.1100,513,6,6,10,10,8,2,-0.172,-0.5489,1,0.861688,1,D-3-phosphoglycerate dehydrogenase OS=Mus musculus GN=Phgdh PE=1 SV=3
m.11013,280,0,1,0,0,0,0,-0.26,-0.3007,0.600423,0.849857,1,m.11013
m.11021,150,1,1,1,1,2,2,0.485,0.6519,1,1,0.952109,Multiple coagulation factor deficiency protein 2 homolog OS=Pongo abelii GN=MCFD2 PE=2 SV=1
m.1103,1107,0,3,0,0,1,0,-0.756,-0.9545,1,0.958547,1,Sodium-driven chloride bicarbonate exchanger OS=Bos taurus GN=SLC4A10 PE=2 SV=1
m.11035,299,5,11,0,0,7,3,-0.538,-1.4147,1,1,0.665688,"Complement component 1 Q subcomponent-binding protein, mitochondrial OS=Bos taurus GN=C1QBP PE=2 SV=1"
m.11041,876,3,1,3,0,0,0,-1.029,-1.4755,1,1,0.605045,Pumilio homolog 1 OS=Gallus gallus GN=PUM1 PE=2 SV=1
m.11045,121,6,5,17,10,6,8,-0.219,-0.8027,1,0.927722,1,Myophilin OS=Echinococcus granulosus PE=2 SV=1
m.11048,288,0,1,0,0,0,0,-0.13,-0.1517,0.449298,0.960385,1,Collagen alpha-1(XIV) chain OS=Gallus gallus GN=COL14A1 PE=1 SV=2
m.11063,151,5,12,5,4,7,5,-0.4,-1.2106,1,0.992103,0.885545,PREDICTED: uncharacterized protein LOC101235613 [Hydra vulgaris]
m.11100,1144,8,9,12,13,10,9,0.014,0.0506,0.632814,1,0.851806,Large proline-rich protein BAG6 OS=Danio rerio GN=Bag6 PE=3 SV=1
m.11104,363,0,0,0,1,0,0,-0.105,-0.1132,0.449288,1,0.962851,m.11104
m.11107,150,46,38,38,37,36,57,-0.01,-0.0771,0.462627,1,0.923585,Actin-related protein 2/3 complex subunit 5 OS=Mus musculus GN=Arpc5 PE=2 SV=3
symbB1.EST_k37c20_475|m.1111,752,0,0,0,1,1,0,-0.125,-0.14,0.447761,0.975076,0.994883,symbB1.EST_k37c20_475 g.1111  ORF symbB1.EST_k37c20_475 g.1111 symbB1.EST_k37c20_475 m.1111 type:5prime_partial len:752 (-) symbB1.EST_k37c20_475:62-2317(-)
m.11115,300,9,12,0,7,10,0,-0.271,-0.877,1,0.944208,1,Techylectin-5B OS=Tachypleus tridentatus PE=1 SV=1
m.11131,120,0,0,0,4,0,0,0.706,0.9511,1,0.918602,0.988186,Uncharacterized protein OS=Emiliania huxleyi CCMP1516 GN=EMIHUDRAFT_249911 PE=4 SV=1
m.11133,183,0,0,1,1,0,0,-0.074,-0.0891,0.456722,1,0.937291,Ras-related protein Rab-13 OS=Danio rerio GN=rab13 PE=1 SV=1
m.11137,540,0,1,0,0,0,0,-0.064,-0.0749,0.463871,1,0.923591,RanBP-type and C3HC4-type zinc finger-containing protein 1 OS=Danio rerio GN=rbck1 PE=2 SV=1
m.11143,350,0,0,0,0,2,2,0.475,0.6157,1,1,0.945756,Hemicentin-1 OS=Homo sapiens GN=HMCN1 PE=1 SV=2
m.11149,227,25,39,25,26,40,31,0.015,0.0959,0.752845,1,0.843812,Proteasome subunit alpha type-7 OS=Homo sapiens GN=PSMA7 PE=1 SV=1
m.11152,593,0,3,0,2,2,0,-0.151,-0.2298,0.495458,0.886128,1,Tenascin-X OS=Crassostrea gigas GN=CGI_10023352 PE=4 SV=1
m.11158,350,5,4,0,3,2,1,-0.624,-1.2064,1,0.991683,0.890822,Golgi-associated plant pathogenesis-related protein 1 OS=Mus musculus GN=Glipr2 PE=2 SV=3
m.11180,213,13,14,6,6,6,7,-0.652,-2.3245,0.281886,1,0.07313,Epidermal growth factor receptor substrate 15-like 1 OS=Homo sapiens GN=EPS15L1 PE=1 SV=1
m.11219,223,0,2,0,1,0,0,-0.422,-0.5529,1,0.862897,1,Discoidin domain-containing receptor 2 OS=Homo sapiens GN=DDR2 PE=1 SV=2
m.11249,809,0,1,0,2,0,0,0.185,0.222,1,1,0.853555,Transmembrane protease serine 2 OS=Homo sapiens GN=TMPRSS2 PE=1 SV=3
m.1126,148,2,6,5,2,4,1,-0.725,-1.4869,1,1,0.593118,60S ribosomal protein L27a OS=Pongo abelii GN=RPL27A PE=2 SV=3
m.11265,213,12,11,27,18,6,25,-0.105,-0.5107,1,0.852564,1,Protein kinase C-binding protein NELL2 OS=Mus musculus GN=Nell2 PE=2 SV=3
m.113,378,81,159,120,88,121,103,-0.214,-2.7769,0.062291,0.995221,0.013819,m.113
m.11307,740,0,0,1,1,1,0,-0.15,-0.1613,0.451566,0.949292,1,"1-phosphatidylinositol 4,5-bisphosphate phosphodiesterase gamma-1 OS=Mus musculus GN=Plcg1 PE=1 SV=2"
m.11309,423,0,2,0,0,1,0,-0.373,-0.4483,1,0.841039,1,Hemicentin-2 OS=Mus musculus GN=Hmcn2 PE=2 SV=1
m.11319,252,3,3,0,4,2,0,-0.138,-0.2572,0.528003,0.869672,1,"Hydroxyacid-oxoacid transhydrogenase, mitochondrial OS=Xenopus tropicalis GN=adhfe1 PE=2 SV=1"
m.1133,280,2,4,4,4,4,5,0.201,0.4683,1,1,0.9144,PCTP-like protein OS=Homo sapiens GN=STARD10 PE=1 SV=2
symbB1.EST_k37c20_4774|m.11339,320,0,2,0,0,1,0,-0.454,-0.5794,1,0.869721,1,symbB1.EST_k37c20_4774 g.11339  ORF symbB1.EST_k37c20_4774 g.11339 symbB1.EST_k37c20_4774 m.11339 type:complete len:320 (+) symbB1.EST_k37c20_4774:389-1348(+)
m.11340,155,0,3,1,4,3,0,0.433,0.7548,1,1,0.967736,Balbiani ring protein 3 OS=Chironomus tentans GN=BR3 PE=2 SV=1
m.1135,538,7,19,20,10,7,10,-0.626,-2.6734,0.08867,0.996679,0.020914,ALK tyrosine kinase receptor OS=Mus musculus GN=Alk PE=1 SV=2
m.11354,351,19,15,14,19,23,15,0.104,0.5317,1,1,0.92853,Quinone oxidoreductase OS=Pseudomonas aeruginosa (strain ATCC 15692 / PAO1 / 1C / PRS 101 / LMG 12228) GN=qor PE=3 SV=2
m.11369,202,5,7,13,4,6,12,-0.187,-0.6117,1,0.878685,1,m.11369
m.11401,144,0,1,0,0,2,0,0.256,0.3217,1,1,0.876868,Dipeptidyl-peptidase 5 OS=Pseudozyma hubeiensis (strain SY62) GN=PHSY_001159 PE=4 SV=1
m.1141,910,1,0,1,3,0,1,0.469,0.6165,1,1,0.945755,Nuclear factor NF-kappa-B p105 subunit OS=Canis familiaris GN=NFKB1 PE=2 SV=2
m.11430,456,1,4,2,6,0,2,0.173,0.3318,1,1,0.879325,Hemicentin-2 OS=Homo sapiens GN=HMCN2 PE=2 SV=2
m.11436,297,0,7,0,0,3,3,-0.376,-0.7088,1,0.904887,1,m.11436
m.11439,174,1,1,0,3,1,0,0.524,0.6934,1,1,0.959107,m.11439
m.11443,1087,2,0,0,0,1,1,-0.378,-0.4808,1,0.846603,1,Putative DMBT1-like protein OS=Mus musculus PE=2 SV=2
