PROTID,UniprotID,Name
m.10187,Q7SXR1,RISC-loading complex subunit tarbp2 OS=Danio rerio GN=tarbp2 PE=2 SV=1                   
m.10188,Q15058,Kinesin-like protein KIF14 OS=Homo sapiens GN=KIF14 PE=1 SV=1                    
m.10190,Q61093,Cytochrome b-245 heavy chain OS=Mus musculus GN=Cybb PE=2 SV=1                   
m.10193,Q9CZ52,Anthrax toxin receptor 1 OS=Mus musculus GN=Antxr1 PE=2 SV=2                   
m.10194,P15178,Aspartate--tRNA ligase cytoplasmic OS=Rattus norvegicus GN=Dars PE=2 SV=1                           
m.10196,P04041,Glutathione peroxidase 1 OS=Rattus norvegicus GN=Gpx1 PE=1 SV=4                    
m.10197,O95096,Homeobox protein Nkx-2.2 OS=Homo sapiens GN=NKX2-2 PE=2 SV=1                    
m.10199,Q05975,Ras-related protein Rab-2 OS=Lymnaea stagnalis GN=RAB2 PE=2 SV=1                    
m.102,P98133,Fibrillin-1 OS=Bos taurus GN=FBN1 PE=1 SV=1                      
m.1020,Q6ZQ08,CCR4-NOT transcription complex subunit 1 OS=Mus musculus GN=Cnot1 PE=1 SV=2                  
m.10200,Q9NZM5,Glioma tumor suppressor candidate region gene 2 protein OS=Homo sapiens GN=GLTSCR2 PE=1 SV=2               
m.10201,O96790,Serine protease inhibitor dipetalogastin (Fragment) OS=Dipetalogaster maximus PE=1 SV=2                   
m.10204,P13903,Twist-related protein OS=Xenopus laevis GN=twist1 PE=2 SV=1                     
m.10205,O88664,Serine/threonine-protein kinase TAO1 OS=Rattus norvegicus GN=Taok1 PE=1 SV=1                    
m.10208,Q9CXI3,DBH-like monooxygenase protein 1 OS=Mus musculus GN=Moxd1 PE=1 SV=1                   
m.10211,Q505F5,Leucine-rich repeat-containing protein 47 OS=Mus musculus GN=Lrrc47 PE=2 SV=1                   
m.10214,Q9D3W4,GPN-loop GTPase 3 OS=Mus musculus GN=Gpn3 PE=2 SV=1                    
m.10215,Q8TAC1,Rieske domain-containing protein OS=Homo sapiens GN=RFESD PE=1 SV=1                    
m.10218,Q96PZ7,CUB and sushi domain-containing protein 1 OS=Homo sapiens GN=CSMD1 PE=1 SV=2                 
m.10222,3661140,Putative uncharacterized protein (Fragment) OS=Branchiostoma floridae GN=BRAFLDRAFT_71829 PE=4 SV=1                   
m.10223,P27671,Ras-specific guanine nucleotide-releasing factor 1 OS=Mus musculus GN=Rasgrf1 PE=1 SV=2                  
m.10225,3266958,Predicted protein OS=Nematostella vectensis GN=v1g197339 PE=4 SV=1                     
m.10226,Q6ZQ89,E3 ubiquitin-protein ligase 6-Mar OS=Mus musculus GN=March6 PE=2 SV=2                   
m.10227,A0JMP0,Acid trehalase-like protein 1 OS=Danio rerio GN=athl1 PE=2 SV=1                   
m.10228,A0JMP0,Acid trehalase-like protein 1 OS=Danio rerio GN=athl1 PE=2 SV=1                   
m.10229,Q0V8A3,GATS-like protein 3 OS=Bos taurus GN=GATSL3 PE=2 SV=1                    
m.1023,Q8IX03,Protein KIBRA OS=Homo sapiens GN=WWC1 PE=1 SV=1                     
m.10231,P22105,Tenascin-X OS=Homo sapiens GN=TNXB PE=1 SV=3                      
m.10239,P31483,Nucleolysin TIA-1 isoform p40 OS=Homo sapiens GN=TIA1 PE=1 SV=3                   
m.1024,P07911,Uromodulin OS=Homo sapiens GN=UMOD PE=1 SV=1                      
m.10241,Q92752,Tenascin-R OS=Homo sapiens GN=TNR PE=1 SV=3                      
m.10242,Q14186,Transcription factor Dp-1 OS=Homo sapiens GN=TFDP1 PE=1 SV=1                    
m.10243,Q7Z5U6,WD repeat-containing protein 53 OS=Homo sapiens GN=WDR53 PE=2 SV=1                   
m.10244,Q9UBG0,C-type mannose receptor 2 OS=Homo sapiens GN=MRC2 PE=1 SV=2                   
m.10246,5733981,Uncharacterized protein OS=Lottia gigantea GN=LOTGIDRAFT_157529 PE=4 SV=1                     
m.10247,5352696,Uncharacterized protein (Fragment) OS=Capitella teleta GN=CAPTEDRAFT_215988 PE=4 SV=1                    
m.10248,P34457,Putative uncharacterized transposon-derived protein F54H12.3 OS=Caenorhabditis elegans GN=F54H12.3 PE=5 SV=1                  
m.1025,Q14728,Major facilitator superfamily domain-containing protein 10 OS=Homo sapiens GN=MFSD10 PE=2 SV=1                 
m.10253,A1L2K1,Meteorin-like protein OS=Xenopus laevis GN=metrnl PE=2 SV=1                     
m.10255,Q5JS54,Proteasome assembly chaperone 4 OS=Homo sapiens GN=PSMG4 PE=2 SV=2                   
m.10256,Q96DM1,PiggyBac transposable element-derived protein 4 OS=Homo sapiens GN=PGBD4 PE=2 SV=3                  
m.1026,Q92626,Peroxidasin homolog OS=Homo sapiens GN=PXDN PE=1 SV=2                     
m.10260,3665646,Putative uncharacterized protein OS=Branchiostoma floridae GN=BRAFLDRAFT_85506 PE=4 SV=1                    
m.10262,P41969,ETS domain-containing protein Elk-1 OS=Mus musculus GN=Elk1 PE=2 SV=3                   
m.10263,Q90YB1,DNA ligase 4 OS=Gallus gallus GN=LIG4 PE=2 SV=2                    
m.10264,Q2QXC6,Probable serine/threonine-protein kinase WNK9 OS=Oryza sativa subsp. japonica GN=WNK9 PE=2 SV=1                 
m.10265,3667633,Putative uncharacterized protein OS=Branchiostoma floridae GN=BRAFLDRAFT_68002 PE=4 SV=1                    
m.10267,O75369,Filamin-B OS=Homo sapiens GN=FLNB PE=1 SV=2                      
m.10268,Q28DL4,TNF receptor-associated factor 6 OS=Xenopus tropicalis GN=traf6 PE=2 SV=1                   
m.1027,3289105,Predicted protein OS=Nematostella vectensis GN=v1g225191 PE=4 SV=1                     
m.10274,B1MTH4,Dolichyldiphosphatase 1 OS=Callicebus moloch GN=DOLPP1 PE=3 SV=1                     
m.10276,Q4R7W3,Ras-specific guanine nucleotide-releasing factor RalGPS2 OS=Macaca fascicularis GN=RALGPS2 PE=2 SV=1                  
m.10278,Q96KE9,BTB/POZ domain-containing protein 6 OS=Homo sapiens GN=BTBD6 PE=1 SV=3                   
m.10286,4774456,Uncharacterized protein OS=Crassostrea gigas GN=CGI_10009073 PE=4 SV=1                     
m.10288,Q8MIQ9,P protein OS=Sus scrofa GN=Oca2 PE=2 SV=3                     
m.10289,P41541,General vesicular transport factor p115 OS=Bos taurus GN=USO1 PE=1 SV=1                  
m.1029,3271521,Predicted protein OS=Nematostella vectensis GN=v1g241089 PE=4 SV=1                     
m.10290,XP_002154527,PREDICTED: muscle skeletal receptor tyrosine protein kinase-like [Hydra vulgaris]                           
m.10292,Q53H12,Acylglycerol kinase mitochondrial OS=Homo sapiens GN=AGK PE=1 SV=2                           
m.10295,P98133,Fibrillin-1 OS=Bos taurus GN=FBN1 PE=1 SV=1                      
m.10299,5365533,Uncharacterized protein OS=Capitella teleta GN=CAPTEDRAFT_218924 PE=4 SV=1                     
m.103,3269669,Predicted protein OS=Nematostella vectensis GN=v1g240016 PE=4 SV=1                     
m.1030,B1H2N3,Calcium uptake protein 1 mitochondrial OS=Xenopus tropicalis GN=micu1 PE=2 SV=2                           
m.10300,3269271,Predicted protein OS=Nematostella vectensis GN=v1g239793 PE=4 SV=1                     
m.10303,Q8BKF1,DNA-directed RNA polymerase mitochondrial OS=Mus musculus GN=Polrmt PE=2 SV=1                           
m.10304,Q96RW7,Hemicentin-1 OS=Homo sapiens GN=HMCN1 PE=1 SV=2                      
m.10306,Q4QY64,ATPase family AAA domain-containing protein 5 OS=Mus musculus GN=Atad5 PE=1 SV=1                 
m.1031,Q6P3Q6,Collagen type IV alpha-3-binding protein OS=Xenopus tropicalis GN=col4a3bp PE=2 SV=1                  
m.10312,O15118,Niemann-Pick C1 protein OS=Homo sapiens GN=NPC1 PE=1 SV=2                    
m.10314,Q09328,Alpha-16-mannosylglycoprotein 6-beta-N-acetylglucosaminyltransferase A OS=Homo sapiens GN=MGAT5 PE=1 SV=1                           
m.10318,H2LRU7,Polycystin-2 OS=Oryzias latipes GN=pkd2 PE=1 SV=2                      
m.10319,Q8WXA9,Splicing regulatory glutamine/lysine-rich protein 1 OS=Homo sapiens GN=SREK1 PE=1 SV=1                  
m.1032,P85118,Probable N-acetyltransferase CML2 OS=Rattus norvegicus GN=Cml2 PE=3 SV=1                    
m.10322,Q0VA40,Transcription factor Sp9 OS=Xenopus tropicalis GN=sp9 PE=2 SV=1                    
m.10323,Q5XJK1,Short coiled-coil protein B OS=Danio rerio GN=scocb PE=3 SV=1                   
m.10324,Q04446,14-alpha-glucan-branching enzyme OS=Homo sapiens GN=GBE1 PE=1 SV=3                           
m.10325,Q4HX89,Protein BTN1 OS=Gibberella zeae (strain PH-1 / ATCC MYA-4620 / FGSC 9075 / NRRL 31084) GN=BTN1 PE=3 SV=2          
m.10326,Q32NG6,Tumor necrosis factor receptor type 1-associated DEATH domain protein OS=Xenopus laevis GN=tradd PE=2 SV=2              
m.10327,Q1LZA7,LIM domain-containing protein 2 OS=Bos taurus GN=LIMD2 PE=2 SV=1                   
m.1033,Q9ERQ8,Carbonic anhydrase 7 OS=Mus musculus GN=Ca7 PE=1 SV=2                    
m.10332,Q9CX98,Cytochrome P450 2U1 OS=Mus musculus GN=Cyp2u1 PE=2 SV=2                    
m.10334,Q8K1Y2,Serine/threonine-protein kinase D3 OS=Mus musculus GN=Prkd3 PE=1 SV=1                    
m.10336,Q8IYL2,Probable tRNA (uracil-O(2)-)-methyltransferase OS=Homo sapiens GN=TRMT44 PE=2 SV=2                    
m.10339,Q4G017,Nischarin OS=Rattus norvegicus GN=Nisch PE=2 SV=2                      
m.1034,Q91286,Fibroblast growth factor receptor 2 OS=Pleurodeles waltl GN=FGFR2 PE=2 SV=1                  
m.10340,Q9DC60,UbiA prenyltransferase domain-containing protein 1 OS=Mus musculus GN=Ubiad1 PE=2 SV=1                  
m.10342,P08183,Multidrug resistance protein 1 OS=Homo sapiens GN=ABCB1 PE=1 SV=3                   
m.10343,Q290N5,Tyrosine-protein kinase-like otk OS=Drosophila pseudoobscura pseudoobscura GN=otk PE=3 SV=2                   
m.10344,P22127,Ras-related protein Rab-10 OS=Diplobatis ommata PE=2 SV=1                     
m.10345,P91943,Protein pangolin isoforms A/H/I/S OS=Drosophila melanogaster GN=pan PE=1 SV=1                           
m.10346,Q9NR16,Scavenger receptor cysteine-rich type 1 protein M160 OS=Homo sapiens GN=CD163L1 PE=1 SV=2                
m.10348,Q8WZ60,Kelch-like protein 6 OS=Homo sapiens GN=KLHL6 PE=2 SV=3                    
m.1035,Q5RF84,Ubiquitin-conjugating enzyme E2 G2 OS=Pongo abelii GN=UBE2G2 PE=2 SV=1                   
m.10350,Q9NS62,Thrombospondin type-1 domain-containing protein 1 OS=Homo sapiens GN=THSD1 PE=1 SV=1                  
m.10352,Q9P2D7,Dynein heavy chain 1 axonemal OS=Homo sapiens GN=DNAH1 PE=2 SV=4                           
m.10354,Q7TP17,Splicing factor U2AF 26 kDa subunit OS=Rattus norvegicus GN=U2af1l4 PE=2 SV=1                 
m.10356,Q5R6R6,Poly(A)-specific ribonuclease PARN-like domain-containing protein 1 OS=Pongo abelii GN=PNLDC1 PE=2 SV=1                 
m.10357,Q498M4,WD repeat-containing protein 5 OS=Rattus norvegicus GN=Wdr5 PE=2 SV=1                   
m.10358,Q3TC46,Protein PAT1 homolog 1 OS=Mus musculus GN=Patl1 PE=1 SV=2                   
m.1036,O57683,Splicing factor 3B subunit 1 OS=Xenopus laevis GN=sf3b1 PE=2 SV=1                  
m.10360,A5D7E2,Transmembrane 9 superfamily member 4 OS=Bos taurus GN=TM9SF4 PE=2 SV=2                  
m.10365,3285278,Predicted protein (Fragment) OS=Nematostella vectensis GN=v1g140878 PE=4 SV=1                    
m.10368,Q9D2J7,Ankyrin repeat and EF-hand domain-containing protein 1 OS=Mus musculus GN=Ankef1 PE=2 SV=1                
m.10370,3268878,Predicted protein (Fragment) OS=Nematostella vectensis GN=v1g160913 PE=4 SV=1                    
m.10373,Q99NH2,Partitioning defective 3 homolog OS=Mus musculus GN=Pard3 PE=1 SV=2                   
m.10374,Q640Z6,Nuclear pore complex protein Nup153 OS=Xenopus laevis GN=nup153 PE=1 SV=1                  
m.10377,3269669,Predicted protein OS=Nematostella vectensis GN=v1g240016 PE=4 SV=1                     
m.10378,Q03516,Uncharacterized protein RSN1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=RSN1 PE=1 SV=1               
m.1038,P51397,Death-associated protein 1 OS=Homo sapiens GN=DAP PE=1 SV=3                    
m.10381,3280737,Predicted protein OS=Nematostella vectensis GN=v1g214620 PE=4 SV=1                     
m.10382,P48508,Glutamate--cysteine ligase regulatory subunit OS=Rattus norvegicus GN=Gclm PE=1 SV=1                   
m.10384,3270169,Predicted protein OS=Nematostella vectensis GN=v1g240326 PE=4 SV=1                     
m.10385,P82914,28S ribosomal protein S15 mitochondrial OS=Homo sapiens GN=MRPS15 PE=1 SV=1                           
m.10386,Q68FS3,F-box only protein 7 OS=Rattus norvegicus GN=Fbxo7 PE=2 SV=1                   
m.10387,Q8IV20,Laccase domain-containing protein 1 OS=Homo sapiens GN=LACC1 PE=1 SV=1                   
m.10388,Q9H079,KATNB1-like protein 1 OS=Homo sapiens GN=KATNBL1 PE=2 SV=1                    
m.10390,3684145,Putative uncharacterized protein OS=Branchiostoma floridae GN=BRAFLDRAFT_109727 PE=4 SV=1                    
m.10393,Q60519,Semaphorin-5B OS=Mus musculus GN=Sema5b PE=2 SV=2                      
m.10396,Q9CYL5,Golgi-associated plant pathogenesis-related protein 1 OS=Mus musculus GN=Glipr2 PE=2 SV=3                  
m.10398,Q9H8K7,Uncharacterized protein C10orf88 OS=Homo sapiens GN=C10orf88 PE=1 SV=2                    
m.104,Q68FD5,Clathrin heavy chain 1 OS=Mus musculus GN=Cltc PE=1 SV=3                   
m.1040,Q2I327,Doublesex- and mab-3-related transcription factor A2 OS=Xiphophorus maculatus GN=dmrta2 PE=2 SV=1                 
