Protein,Len,NN,NN,NN,OO,OO,OO,LogFoldChange,Zstatistic,fdr,FDRup,FDRdown,DEFLINE,
m.35043,161,0,3,1,3,2,2,0.483,0.7615,0.148488,0.005119,0.736584,Predicted protein OS=Nematostella vectensis GN=v1g239031 PE=4 SV=1,3268046
m.29115,136,0,0,2,0,0,0,-0.231,-0.2911,0.657716,0.683228,0.079092,Predicted protein OS=Nematostella vectensis GN=v1g239078 PE=4 SV=1,3268118
m.24130,123,0,0,0,2,3,0,0.858,1.1823,0.000106,0.000003,0.698473,Acyl-coenzyme A oxidase OS=Nematostella vectensis GN=v1g86003 PE=3 SV=1,3268174
m.31184,221,7,16,3,11,15,13,0.571,2.2335,0,0,0.631429,Predicted protein OS=Nematostella vectensis GN=v1g239175 PE=4 SV=1,3268279
m.9104,238,5,9,0,10,8,7,0.669,2.077,0,0,0.637993,Predicted protein OS=Nematostella vectensis GN=v1g239175 PE=4 SV=1,3268279
m.17562,293,0,2,2,4,4,3,0.947,1.8539,0,0,0.649246,Predicted protein OS=Nematostella vectensis GN=v1g231988 PE=4 SV=1,3268417
m.30386,129,0,3,0,0,0,0,-0.469,-0.6166,0.024823,0.659556,0.001273,Predicted protein OS=Nematostella vectensis GN=v1g199281 PE=4 SV=1,3268546
m.11636,357,22,6,18,29,30,29,0.797,4.4615,0,0,0.582269,Predicted protein (Fragment) OS=Nematostella vectensis GN=v1g87496 PE=4 SV=1,3268757
m.27603,105,3,2,3,2,1,2,-0.328,-0.5585,0.055398,0.664736,0.003109,Predicted protein OS=Nematostella vectensis GN=v1g239513 PE=4 SV=1,3268769
m.36124,147,0,0,1,5,6,5,1.857,2.8075,0,0,0.612082,Predicted protein OS=Nematostella vectensis GN=v1g199871 PE=4 SV=1,3269030
m.30517,248,8,10,1,7,4,5,-0.025,-0.0754,0.998201,0.65497,0.346779,Predicted protein OS=Nematostella vectensis GN=v1g239742 PE=4 SV=1,3269195
m.34993,434,1,3,3,2,4,3,0.389,0.7672,0.138712,0.004726,0.736086,Predicted protein OS=Nematostella vectensis GN=v1g240022 PE=4 SV=1,3269697
m.6490,438,2,0,3,30,33,38,3.009,7.4509,0,0,0.570811,Predicted protein OS=Nematostella vectensis GN=v1g240575 PE=4 SV=1,3270643
m.1002,498,0,0,0,4,3,0,1.241,1.6865,0,0,0.659402,Predicted protein OS=Nematostella vectensis GN=v1g240580 PE=4 SV=1,3270652
m.11842,252,0,0,0,8,16,15,2.883,4.6402,0,0,0.580874,Predicted protein OS=Nematostella vectensis GN=v1g240789 PE=4 SV=1,3270986
m.16496,187,0,0,0,1,0,3,0.678,0.8869,0.026605,0.000764,0.725149,Predicted protein OS=Nematostella vectensis GN=v1g232305 PE=4 SV=1,3271176
m.26667,163,1,0,0,0,0,0,0.074,0.0841,1,0.573993,0.5617,Predicted protein OS=Nematostella vectensis GN=v1g203259 PE=4 SV=1,3271726
m.5355,551,0,3,0,2,1,1,-0.151,-0.206,0.871817,0.680123,0.160997,Predicted protein OS=Nematostella vectensis GN=v1g241302 PE=4 SV=1,3271919
m.196,258,7,9,3,6,9,6,0.258,0.7926,0.101181,0.003287,0.733829,Predicted protein OS=Nematostella vectensis GN=v1g241439 PE=4 SV=1,3272153
m.5839,328,0,1,0,1,4,2,1.141,1.6153,0,0,0.664171,Predicted protein OS=Nematostella vectensis GN=v1g241481 PE=4 SV=1,3272239
m.23572,144,5,10,6,2,4,2,-0.877,-1.9609,0,0.599483,0,Predicted protein OS=Nematostella vectensis GN=v1g241615 PE=4 SV=1,3272459
m.33059,120,0,0,0,2,4,1,1.073,1.4234,0,0,0.678392,Predicted protein OS=Nematostella vectensis GN=v1g241615 PE=4 SV=1,3272459
m.7223,105,1,0,0,1,1,0,0.09,0.1003,1,0.561606,0.5784,Predicted protein OS=Nematostella vectensis GN=v1g241754 PE=4 SV=1,3272691
m.20925,190,12,16,33,0,0,0,-2.95,-4.6375,0,0.57488,0,Predicted protein OS=Nematostella vectensis GN=v1g241950 PE=4 SV=1,3272997
m.27378,104,9,7,1,0,0,0,-1.722,-2.5073,0,0.590849,0,Predicted protein OS=Nematostella vectensis GN=v1g241994 PE=4 SV=1,3273073
m.33472,425,4,7,5,3,1,2,-0.862,-1.7422,0,0.604675,0,Predicted protein OS=Nematostella vectensis GN=v1g241995 PE=4 SV=1,3273074
m.38038,462,2,13,26,19,18,20,0.513,2.314,0,0,0.628328,Predicted protein OS=Nematostella vectensis GN=v1g241995 PE=4 SV=1,3273074
m.450,995,0,0,1,3,1,2,0.876,1.1553,0.00019,0.000005,0.700824,Predicted protein OS=Nematostella vectensis GN=v1g242007 PE=4 SV=1,3273090
m.1809,261,0,0,3,2,2,1,0.196,0.2778,1,0.368196,0.699094,Predicted protein OS=Nematostella vectensis GN=v1g242093 PE=4 SV=1,3273245
m.16552,236,0,1,0,2,1,2,0.636,0.8448,0.049762,0.001498,0.729056,Predicted protein OS=Nematostella vectensis GN=v1g242207 PE=4 SV=1,3273425
m.5125,382,1,0,1,0,0,0,0.08,0.0904,1,0.56928,0.568321,Predicted protein OS=Nematostella vectensis GN=v1g242327 PE=4 SV=1,3273662
m.515,303,2,0,1,1,1,2,0.203,0.2595,1,0.392383,0.691116,Predicted protein OS=Nematostella vectensis GN=v1g242428 PE=4 SV=1,3273803
m.19196,199,0,4,0,0,0,0,-0.666,-0.9443,0.000072,0.636223,0.000002,Predicted protein OS=Nematostella vectensis GN=v1g205949 PE=4 SV=1,3273897
m.3119,415,0,0,0,1,2,0,0.512,0.6181,0.54949,0.030767,0.746612,Predicted protein OS=Nematostella vectensis GN=v1g242477 PE=4 SV=1,3273915
m.3666,213,140,169,119,108,106,98,-0.155,-2.0151,0,0.59839,0,Predicted protein OS=Nematostella vectensis GN=v1g242530 PE=4 SV=1,3274001
m.9498,636,3,2,6,2,2,4,-0.181,-0.3667,0.417598,0.680561,0.036764,Predicted protein OS=Nematostella vectensis GN=v1g242619 PE=4 SV=1,3274122
m.3827,229,0,1,0,0,0,0,0.016,0.0186,1,0.615545,0.483435,Predicted protein OS=Nematostella vectensis GN=v1g242688 PE=4 SV=1,3274269
m.23628,181,0,0,1,0,0,0,0.149,0.163,1,0.505106,0.633259,Predicted protein OS=Nematostella vectensis GN=v1g242847 PE=4 SV=1,3274544
m.17662,137,6,2,2,5,4,6,0.584,1.414,0,0,0.679137,Predicted protein OS=Nematostella vectensis GN=v1g206837 PE=4 SV=1,3274580
m.8032,116,1,3,7,0,0,0,-1.275,-1.8815,0,0.601223,0,Predicted protein OS=Nematostella vectensis GN=v1g206837 PE=4 SV=1,3274580
m.19866,117,1,0,0,0,0,0,0.102,0.1188,1,0.546367,0.596175,Predicted protein OS=Nematostella vectensis GN=v1g242938 PE=4 SV=1,3274680
m.29779,268,0,4,0,0,0,0,-0.642,-0.8591,0.00041,0.641312,0.000015,Predicted protein OS=Nematostella vectensis GN=v1g207081 PE=4 SV=1,3274773
m.1415,197,0,0,0,7,6,5,2.137,3.2256,0,0,0.601975,Predicted protein OS=Nematostella vectensis GN=v1g243062 PE=4 SV=1,3274911
m.21375,111,0,0,0,1,1,1,0.084,0.0957,1,0.565213,0.573766,Predicted protein OS=Nematostella vectensis GN=v1g243062 PE=4 SV=1,3274911
m.20248,122,1,2,1,0,0,0,-0.186,-0.2448,0.787098,0.682547,0.118844,Predicted protein OS=Nematostella vectensis GN=v1g207332 PE=4 SV=1,3274977
m.13280,144,0,0,0,1,1,1,0.137,0.1669,1,0.501136,0.636183,Predicted protein OS=Nematostella vectensis GN=v1g243116 PE=4 SV=1,3274992
m.16901,126,18,0,0,0,0,0,-1.892,-2.7064,0,0.588179,0,Predicted protein OS=Nematostella vectensis GN=v1g243126 PE=4 SV=1,3275002
m.23134,126,0,0,0,0,1,0,0.118,0.1314,1,0.535306,0.607506,Predicted protein OS=Nematostella vectensis GN=v1g243126 PE=4 SV=1,3275002
m.29873,128,0,0,0,0,1,0,0.111,0.1316,1,0.535126,0.60768,Predicted protein OS=Nematostella vectensis GN=v1g243126 PE=4 SV=1,3275002
m.26278,149,6,10,0,9,6,6,0.384,1.1385,0.000271,0.000007,0.702296,Predicted protein OS=Nematostella vectensis GN=v1g207416 PE=4 SV=1,3275035
m.29137,625,2,0,4,0,1,1,-0.771,-1.064,0.000005,0.629913,0,Predicted protein OS=Nematostella vectensis GN=v1g243188 PE=4 SV=1,3275113
m.25456,233,0,0,0,1,1,0,0.158,0.188,1,0.478736,0.651082,Predicted protein OS=Nematostella vectensis GN=v1g207953 PE=4 SV=1,3275455
m.29955,115,1,1,0,0,0,0,0.184,0.2088,1,0.455188,0.664314,Predicted protein OS=Nematostella vectensis GN=v1g207953 PE=4 SV=1,3275455
m.30023,103,0,0,0,2,1,2,0.771,1.0118,0.003244,0.000085,0.713627,Predicted protein OS=Nematostella vectensis GN=v1g207953 PE=4 SV=1,3275455
m.31542,149,7,5,4,6,4,4,0.022,0.0597,1,0.591019,0.534536,Predicted protein OS=Nematostella vectensis GN=v1g207953 PE=4 SV=1,3275455
m.33051,377,0,2,1,1,0,0,-0.232,-0.2673,0.727426,0.683147,0.098096,Predicted protein OS=Nematostella vectensis GN=v1g207953 PE=4 SV=1,3275455
m.34525,118,0,1,0,0,0,0,0.103,0.1206,1,0.544821,0.597832,Predicted protein OS=Nematostella vectensis GN=v1g207953 PE=4 SV=1,3275455
m.34605,160,0,0,1,1,1,1,0.055,0.0624,1,0.589228,0.537659,Predicted protein OS=Nematostella vectensis GN=v1g207953 PE=4 SV=1,3275455
m.37256,174,0,2,0,0,0,1,-0.241,-0.3056,0.61255,0.68303,0.06894,Predicted protein OS=Nematostella vectensis GN=v1g207953 PE=4 SV=1,3275455
m.9178,193,1,1,0,1,1,1,0.111,0.1227,1,0.543002,0.599748,Predicted protein OS=Nematostella vectensis GN=v1g207953 PE=4 SV=1,3275455
m.13133,304,14,21,25,39,40,39,0.849,5.4694,0,0,0.57541,Predicted protein OS=Nematostella vectensis GN=v1g243369 PE=4 SV=1,3275465
m.19439,178,0,0,1,2,2,2,0.933,1.2345,0.000033,0.000001,0.693979,Predicted protein OS=Nematostella vectensis GN=v1g208242 PE=4 SV=1,3275689
m.25019,253,0,1,0,0,0,0,0.061,0.066,1,0.586806,0.541781,Predicted protein OS=Nematostella vectensis GN=v1g208242 PE=4 SV=1,3275689
m.3433,518,0,0,0,1,0,0,0.071,0.0791,1,0.577639,0.556332,Predicted protein OS=Nematostella vectensis GN=v1g232854 PE=4 SV=1,3275692
m.1215,381,67,62,45,33,35,33,-0.39,-3.1567,0,0.582819,0,Predicted protein OS=Nematostella vectensis GN=v1g243536 PE=4 SV=1,3275784
m.5116,342,1,7,2,3,2,1,-0.403,-0.7776,0.001868,0.646773,0.000075,Predicted protein OS=Nematostella vectensis GN=v1g243708 PE=4 SV=1,3276105
m.30492,247,12,12,5,11,12,11,0.306,1.1834,0.000104,0.000002,0.698378,Predicted protein OS=Nematostella vectensis GN=v1g109978 PE=4 SV=1,3276169
m.5932,403,2,0,1,0,0,0,-0.168,-0.1957,0.89024,0.67915,0.173488,Predicted protein OS=Nematostella vectensis GN=v1g243754 PE=4 SV=1,3276180
m.16363,339,0,0,0,1,0,0,0.152,0.169,1,0.498975,0.637736,Predicted protein OS=Nematostella vectensis GN=v1g208975 PE=4 SV=1,3276285
m.17007,211,0,3,0,2,0,0,-0.144,-0.206,0.871817,0.680123,0.160997,Predicted protein OS=Nematostella vectensis GN=v1g208975 PE=4 SV=1,3276285
m.3167,409,3,13,3,1,0,0,-1.833,-2.8539,0,0.586239,0,Predicted protein OS=Nematostella vectensis GN=v1g243852 PE=4 SV=1,3276328
m.15158,259,25,10,10,3,4,3,-1.376,-3.8201,0,0.578569,0,Predicted protein OS=Nematostella vectensis GN=v1g232929 PE=4 SV=1,3276401
m.13551,300,0,0,0,1,0,0,0.131,0.1559,1,0.5122,0.627795,Predicted protein OS=Nematostella vectensis GN=v1g243976 PE=4 SV=1,3276542
m.25258,278,7,11,17,11,11,16,0.26,1.0883,0.000756,0.000019,0.706737,Predicted protein OS=Nematostella vectensis GN=v1g243995 PE=4 SV=1,3276573
m.25060,237,1,0,0,0,0,0,0.075,0.0837,1,0.574287,0.561274,Predicted protein (Fragment) OS=Nematostella vectensis GN=v1g244126 PE=4 SV=1,3276858
m.5473,170,1,2,0,7,4,4,1.574,2.6531,0,0,0.61656,Predicted protein (Fragment) OS=Nematostella vectensis GN=v1g244126 PE=4 SV=1,3276858
m.24266,335,0,0,0,2,0,0,0.396,0.5047,0.875902,0.093876,0.746761,Predicted protein OS=Nematostella vectensis GN=v1g210155 PE=4 SV=1,3277226
m.15822,319,1,3,1,2,1,1,-0.099,-0.1341,0.966941,0.669961,0.257642,Predicted protein OS=Nematostella vectensis GN=v1g244535 PE=4 SV=1,3277618
m.5185,122,0,0,1,3,0,0,0.805,1.0023,0.003854,0.000101,0.714493,Predicted protein OS=Nematostella vectensis GN=v1g244535 PE=4 SV=1,3277618
m.39,352,4,2,0,1,0,0,-0.724,-0.963,0.000048,0.635179,0.000002,Predicted protein OS=Nematostella vectensis GN=v1g244685 PE=4 SV=1,3277886
m.12857,118,0,1,0,0,0,0,0.128,0.1406,1,0.526878,0.61539,Predicted protein OS=Nematostella vectensis GN=v1g244848 PE=4 SV=1,3278137
m.33987,209,0,0,1,0,0,1,0.199,0.2179,1,0.444451,0.669673,Predicted protein OS=Nematostella vectensis GN=v1g211472 PE=4 SV=1,3278245
m.17401,143,3,14,8,0,0,0,-2.142,-3.2339,0,0.582104,0,Predicted protein OS=Nematostella vectensis GN=v1g245074 PE=4 SV=1,3278511
m.19503,183,3,6,9,5,4,5,-0.101,-0.2795,0.692425,0.683254,0.087983,Predicted protein OS=Nematostella vectensis GN=v1g245101 PE=4 SV=1,3278559
m.29511,112,0,0,1,0,0,0,0.087,0.0979,1,0.563497,0.575993,Predicted protein OS=Nematostella vectensis GN=v1g245101 PE=4 SV=1,3278559
m.32564,491,0,1,0,0,1,0,0.192,0.2303,1,0.429419,0.676576,Predicted protein OS=Nematostella vectensis GN=v1g245123 PE=4 SV=1,3278598
m.5507,231,1,0,4,7,6,4,1.219,2.4504,0,0,0.623347,Predicted protein OS=Nematostella vectensis GN=v1g245328 PE=4 SV=1,3278984
m.34903,171,4,5,0,5,5,5,0.598,1.4172,0,0,0.678883,Predicted protein OS=Nematostella vectensis GN=v1g245425 PE=4 SV=1,3279147
m.20970,243,0,9,0,2,0,1,-0.931,-1.5354,0,0.610809,0,Predicted protein OS=Nematostella vectensis GN=v1g245862 PE=4 SV=1,3279955
m.2297,274,0,2,0,0,0,0,-0.184,-0.2286,0.825411,0.681763,0.135476,Predicted protein OS=Nematostella vectensis GN=v1g245862 PE=4 SV=1,3279955
m.7976,169,0,1,0,0,0,0,0.256,0.285,1,0.358519,0.702011,Predicted protein OS=Nematostella vectensis GN=v1g245862 PE=4 SV=1,3279955
m.792,129,1,0,0,0,0,0,0.147,0.1609,1,0.507223,0.631663,Predicted protein OS=Nematostella vectensis GN=v1g237353 PE=4 SV=1,3280357
m.10558,176,13,7,4,6,6,6,-0.141,-0.4233,0.259325,0.676625,0.019154,Predicted protein OS=Nematostella vectensis GN=v1g246076 PE=4 SV=1,3280410
m.2309,217,1,1,1,1,0,1,0.107,0.1236,1,0.542218,0.600563,Predicted protein OS=Nematostella vectensis GN=v1g171979 PE=4 SV=1,3280461
m.16253,192,0,0,1,0,0,0,0.148,0.1675,1,0.50052,0.636629,Predicted protein OS=Nematostella vectensis GN=v1g246196 PE=4 SV=1,3280664
m.5439,531,1,0,0,3,2,2,1.02,1.4804,0,0,0.673968,Predicted protein OS=Nematostella vectensis GN=v1g214543 PE=4 SV=1,3280670
m.14807,140,1,0,0,0,0,0,0.185,0.2286,1,0.431506,0.675656,Predicted protein OS=Nematostella vectensis GN=v1g246553 PE=4 SV=1,3281312
m.8075,430,1,2,0,0,0,0,-0.229,-0.2866,0.671233,0.683252,0.082457,Predicted protein OS=Nematostella vectensis GN=v1g246689 PE=4 SV=1,3281548
m.2576,507,0,0,0,3,3,1,1.03,1.409,0,0,0.679534,Predicted protein OS=Nematostella vectensis GN=v1g246748 PE=4 SV=1,3281663
m.21834,367,0,0,1,0,0,0,0.073,0.0888,1,0.57049,0.566655,Predicted protein OS=Nematostella vectensis GN=v1g215928 PE=4 SV=1,3281769
m.32194,430,0,3,2,0,2,2,-0.057,-0.0911,0.992842,0.659643,0.322635,Predicted protein OS=Nematostella vectensis GN=v1g246919 PE=4 SV=1,3282005
m.12643,211,2,3,6,0,0,0,-1.195,-1.8149,0,0.60281,0,Predicted protein OS=Nematostella vectensis GN=v1g247020 PE=4 SV=1,3282180
m.15507,173,0,1,3,0,0,1,-0.391,-0.5025,0.111579,0.669823,0.006899,Predicted protein OS=Nematostella vectensis GN=v1g247020 PE=4 SV=1,3282180
m.7744,503,21,14,22,8,6,8,-0.796,-3.1008,0,0.583378,0,Predicted protein OS=Nematostella vectensis GN=v1g247020 PE=4 SV=1,3282180
m.29414,119,0,0,3,1,0,0,-0.504,-0.6678,0.011542,0.655205,0.000548,Predicted protein OS=Nematostella vectensis GN=v1g216575 PE=4 SV=1,3282232
m.38847,116,2,2,13,5,10,7,0.462,1.4569,0,0,0.675773,Predicted protein OS=Nematostella vectensis GN=v1g247043 PE=4 SV=1,3282233
m.1981,122,1,0,0,1,0,0,0.058,0.0722,1,0.582536,0.548753,Predicted protein OS=Nematostella vectensis GN=v1g247228 PE=4 SV=1,3282561
m.22377,200,7,8,13,0,0,0,-2.271,-3.2565,0,0.581909,0,Predicted protein OS=Nematostella vectensis GN=v1g247592 PE=4 SV=1,3283281
m.7276,101,0,1,8,0,0,0,-1.178,-1.6371,0,0.607628,0,Predicted protein OS=Nematostella vectensis GN=v1g218031 PE=4 SV=1,3283354
m.21278,311,0,0,1,0,0,0,0.057,0.0696,1,0.584342,0.545849,Predicted protein OS=Nematostella vectensis GN=v1g247672 PE=4 SV=1,3283483
m.12662,470,2,3,1,12,12,14,2,4.5551,0,0,0.581527,Predicted protein OS=Nematostella vectensis GN=v1g218210 PE=4 SV=1,3283492
m.6492,285,1,1,1,0,3,3,0.998,1.4492,0,0,0.67637,Predicted protein OS=Nematostella vectensis GN=v1g247680 PE=4 SV=1,3283494
m.29201,116,1,1,0,1,2,4,1.102,1.5231,0,0,0.67076,Predicted protein (Fragment) OS=Nematostella vectensis GN=v1g134593 PE=4 SV=1,3283569
m.34458,179,0,3,7,0,0,0,-1.265,-1.7759,0,0.603793,0,Predicted protein OS=Nematostella vectensis GN=v1g218910 PE=4 SV=1,3284016
m.18619,214,19,18,11,10,2,3,-1.024,-3.3219,0,0.58138,0,Predicted protein OS=Nematostella vectensis GN=v1g247951 PE=4 SV=1,3284105
m.13442,270,2,15,0,7,4,5,0.038,0.1095,1,0.554175,0.58741,Predicted protein OS=Nematostella vectensis GN=v1g233699 PE=4 SV=1,3284139
m.11603,537,6,5,2,8,6,7,0.664,1.8902,0,0,0.647238,Predicted protein OS=Nematostella vectensis GN=v1g219291 PE=4 SV=1,3284280
m.14754,356,29,42,63,46,50,52,0.268,2.1942,0,0,0.633,Predicted protein OS=Nematostella vectensis GN=v1g237612 PE=4 SV=1,3284742
m.24046,310,0,0,0,1,0,1,0.195,0.2397,1,0.417734,0.681512,Predicted protein OS=Nematostella vectensis GN=v1g248223 PE=4 SV=1,3284819
m.9386,745,5,5,8,6,6,5,0.095,0.2797,1,0.365651,0.699876,Predicted protein OS=Nematostella vectensis GN=v1g248372 PE=4 SV=1,3285191
m.3829,120,1,7,1,1,0,2,-0.714,-1.0831,0.000003,0.628981,0,Predicted protein (Fragment) OS=Nematostella vectensis GN=v1g248390 PE=4 SV=1,3285234
m.10365,413,3,0,10,11,11,12,1.068,3.2927,0,0,0.600384,Predicted protein (Fragment) OS=Nematostella vectensis GN=v1g140878 PE=4 SV=1,3285278
m.5128,376,16,9,13,16,17,14,0.362,1.7316,0,0,0.656521,Predicted protein (Fragment) OS=Nematostella vectensis GN=v1g140878 PE=4 SV=1,3285278
m.1321,277,0,0,0,2,1,2,0.64,0.7842,0.112561,0.003711,0.734582,Predicted protein OS=Nematostella vectensis GN=v1g248415 PE=4 SV=1,3285291
m.12945,765,2,2,0,2,3,3,0.622,1.0696,0.001091,0.000028,0.708407,Predicted protein OS=Nematostella vectensis GN=v1g248425 PE=4 SV=1,3285315
m.17323,421,103,73,91,67,78,74,-0.036,-0.4055,0.304945,0.677984,0.02368,Predicted protein OS=Nematostella vectensis GN=v1g220800 PE=3 SV=1,3285395
m.8609,175,0,0,0,27,25,26,3.391,5.7815,0,0,0.574279,Predicted protein OS=Nematostella vectensis GN=v1g220800 PE=3 SV=1,3285395
m.18940,324,0,1,0,0,0,0,0.209,0.2453,1,0.41066,0.684335,Predicted protein OS=Nematostella vectensis GN=v1g220885 PE=4 SV=1,3285453
m.6225,650,0,1,0,0,0,0,0.081,0.0915,1,0.568443,0.56946,Predicted protein OS=Nematostella vectensis GN=v1g221490 PE=4 SV=1,3285893
m.2765,1329,1,3,4,3,3,5,0.483,1.0629,0.001243,0.000032,0.709008,Predicted protein (Fragment) OS=Nematostella vectensis GN=v1g224725 PE=4 SV=1,3288684
m.186,106,0,0,1,0,0,0,0.214,0.239,1,0.418612,0.681153,Predicted protein (Fragment) OS=Nematostella vectensis GN=v1g224948 PE=4 SV=1,3288907
m.1027,157,0,0,0,1,0,1,0.213,0.2549,1,0.398354,0.688977,Predicted protein OS=Nematostella vectensis GN=v1g225191 PE=4 SV=1,3289105
m.34713,109,0,1,0,2,2,3,1.043,1.4543,0,0,0.675974,Predicted protein OS=Nematostella vectensis GN=v1g225333 PE=4 SV=1,3289220
m.15370,180,113,76,30,72,70,66,0.117,1.1944,0.000082,0.000002,0.697425,Beta gamma crystallin isoform 10 (Fragment) OS=Montipora capitata PE=2 SV=1,3300831
m.9578,173,69,367,26,181,171,179,0.301,5.0109,0,0,0.578123,Beta gamma crystallin isoform 10 (Fragment) OS=Montipora capitata PE=2 SV=1,3300831
m.20506,179,0,0,0,31,30,27,3.666,6.9985,0,0,0.571328,Predicted protein (Fragment) OS=Nematostella vectensis GN=v1g226089 PE=4 SV=1,3302536
m.22483,250,0,0,0,5,4,4,1.698,2.4429,0,0,0.623614,Predicted protein (Fragment) OS=Nematostella vectensis GN=v1g226089 PE=4 SV=1,3302536
m.32331,329,0,0,1,2,1,0,0.492,0.5887,0.64861,0.042194,0.747605,Predicted protein OS=Monosiga brevicollis GN=29277 PE=4 SV=1,3346419
m.15418,181,0,0,0,10,5,6,2.208,3.196,0,0,0.602679,Predicted protein OS=Monosiga brevicollis GN=29577 PE=4 SV=1,3346723
m.3981,180,0,0,0,20,20,23,3.344,4.8597,0,0,0.579262,Predicted protein OS=Monosiga brevicollis GN=29577 PE=4 SV=1,3346723
m.33823,263,2,0,2,6,7,6,1.573,2.98,0,0,0.607776,Putative uncharacterized protein OS=Acropora millepora PE=2 SV=1,3629642
m.27642,274,2,2,2,0,0,0,-0.697,-0.9007,0.000179,0.638756,0.000006,Putative uncharacterized protein OS=Acropora millepora PE=2 SV=1,3629645
m.251,263,28,31,24,29,27,32,0.223,1.4568,0,0,0.675781,Small cysteine-rich protein 2 OS=Acropora millepora GN=SCRiP2 PE=4 SV=1,3642302
m.1500,101,1,3,22,3,6,3,-0.614,-1.8262,0,0.602533,0,Small cysteine-rich protein 3a OS=Montastraea faveolata GN=SCRiP3a PE=4 SV=1,3652730
m.332,282,195,247,161,232,246,244,0.339,5.8792,0,0,0.573967,Small cysteine-rich protein 3a OS=Montastraea faveolata GN=SCRiP3a PE=4 SV=1,3652730
m.10111,222,8,5,5,5,3,4,-0.273,-0.7291,0.004305,0.65034,0.000187,Uncharacterized protein OS=Branchiostoma floridae GN=BRAFLDRAFT_85349 PE=4 SV=1,3660641
m.23808,381,1,1,1,7,3,3,1.763,2.5971,0,0,0.618346,Putative uncharacterized protein OS=Branchiostoma floridae GN=BRAFLDRAFT_63870 PE=4 SV=1,3663531
m.20487,290,2,0,3,2,1,0,-0.359,-0.5255,0.084488,0.667737,0.005011,Putative uncharacterized protein OS=Branchiostoma floridae GN=BRAFLDRAFT_63866 PE=4 SV=1,3663535
m.16036,305,0,0,1,3,5,4,1.65,2.3734,0,0,0.626122,Putative uncharacterized protein OS=Branchiostoma floridae GN=BRAFLDRAFT_63863 PE=4 SV=1,3663538
m.16259,270,0,0,0,0,0,1,0.158,0.178,1,0.489543,0.644212,Putative uncharacterized protein OS=Branchiostoma floridae GN=BRAFLDRAFT_63863 PE=4 SV=1,3663538
m.35566,133,2,1,0,0,0,0,-0.154,-0.1971,0.887845,0.679291,0.17176,Putative uncharacterized protein OS=Branchiostoma floridae GN=BRAFLDRAFT_87842 PE=4 SV=1,3664776
m.16043,429,1,4,2,1,1,1,-0.736,-1.0405,0.000008,0.631087,0,Putative uncharacterized protein OS=Branchiostoma floridae GN=BRAFLDRAFT_86827 PE=4 SV=1,3665245
m.10260,232,4,2,0,4,5,4,0.83,1.6517,0,0,0.661699,Putative uncharacterized protein OS=Branchiostoma floridae GN=BRAFLDRAFT_85506 PE=4 SV=1,3665646
