Protein,Len,NN,NN,NN,ON,ON,ON,LogFoldChange,Zstatistic,fdr,FDRup,FDRdown,DEFLINE,Uniprot
m.1020,1917,0,1,1,2,0,1,0.449,0.5664,0.846673,0.139515,0.74089,CCR4-NOT transcription complex subunit 1 OS=Mus musculus GN=Cnot1 PE=1 SV=2,Q6ZQ08
m.10216,265,2,0,0,0,0,0,-0.15,-0.177,0.76005,0.71314,0.112542,m.10216,
m.10254,141,5,2,11,4,1,3,-0.62,-1.4355,0,0.629971,0,m.10254,
m.1026,324,2,1,0,0,0,0,-0.177,-0.2211,0.63651,0.712976,0.076846,Peroxidasin homolog OS=Homo sapiens GN=PXDN PE=1 SV=2,Q92626
m.10260,232,4,2,0,1,0,0,-0.707,-0.9341,0.000024,0.653352,0.000001,Putative uncharacterized protein OS=Branchiostoma floridae GN=BRAFLDRAFT_85506 PE=4 SV=1,3665646
m.1027,157,0,0,0,2,0,0,0.598,0.7536,0.308647,0.024483,0.733012,Predicted protein OS=Nematostella vectensis GN=v1g225191 PE=4 SV=1,3289105
m.10289,705,0,0,0,0,1,0,0.166,0.1988,0.999878,0.586234,0.591152,General vesicular transport factor p115 OS=Bos taurus GN=USO1 PE=1 SV=1,P41541
m.10292,409,0,0,0,0,0,1,0.271,0.3128,1,0.471386,0.672832,"Acylglycerol kinase, mitochondrial OS=Homo sapiens GN=AGK PE=1 SV=2",Q53H12
m.10303,381,0,1,0,0,1,0,0.232,0.2585,1,0.531844,0.639305,"DNA-directed RNA polymerase, mitochondrial OS=Mus musculus GN=Polrmt PE=2 SV=1",Q8BKF1
m.10304,278,31,6,11,8,6,0,-0.94,-3.0774,0,0.598454,0,Hemicentin-1 OS=Homo sapiens GN=HMCN1 PE=1 SV=2,Q96RW7
m.10324,680,12,7,25,13,8,7,-0.227,-0.882,0.000071,0.656797,0.000003,"1,4-alpha-glucan-branching enzyme OS=Homo sapiens GN=GBE1 PE=1 SV=3",Q04446
m.10327,1122,12,7,6,2,1,0,-1.67,-2.9788,0,0.599394,0,LIM domain-containing protein 2 OS=Bos taurus GN=LIMD2 PE=2 SV=1,Q1LZA7
m.1033,111,0,0,0,0,4,0,0.872,1.2617,0.000205,0.000007,0.679096,Carbonic anhydrase 7 OS=Mus musculus GN=Ca7 PE=1 SV=2,Q9ERQ8
m.10342,512,0,0,0,0,0,1,0.169,0.1844,0.999781,0.597482,0.577587,Multidrug resistance protein 1 OS=Homo sapiens GN=ABCB1 PE=1 SV=3,P08183
m.10346,250,0,0,0,0,1,1,0.148,0.1757,0.999854,0.603941,0.569008,Scavenger receptor cysteine-rich type 1 protein M160 OS=Homo sapiens GN=CD163L1 PE=1 SV=2,Q9NR16
m.1035,165,0,0,0,1,1,1,0.198,0.223,1,0.565713,0.612207,Ubiquitin-conjugating enzyme E2 G2 OS=Pongo abelii GN=UBE2G2 PE=2 SV=1,Q5RF84
m.10353,112,0,0,0,0,1,0,0.186,0.2169,1,0.57108,0.607103,m.10353,
m.1036,1192,0,2,7,0,2,2,-0.535,-0.9873,0.000007,0.650098,0,Splicing factor 3B subunit 1 OS=Xenopus laevis GN=sf3b1 PE=2 SV=1,O57683
m.10365,413,3,0,10,4,1,0,-0.682,-1.4469,0,0.629549,0,Predicted protein (Fragment) OS=Nematostella vectensis GN=v1g140878 PE=4 SV=1,3285278
m.10373,1031,0,0,0,0,1,0,0.048,0.0564,1,0.669892,0.423148,Partitioning defective 3 homolog OS=Mus musculus GN=Pard3 PE=1 SV=2,Q99NH2
m.10374,1005,1,0,7,0,1,0,-0.988,-1.465,0,0.628884,0,Nuclear pore complex protein Nup153 OS=Xenopus laevis GN=nup153 PE=1 SV=1,Q640Z6
m.10378,725,4,9,5,5,2,0,-0.625,-1.4993,0,0.627641,0,Uncharacterized protein RSN1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=RSN1 PE=1 SV=1,Q03516
m.1038,113,17,20,19,21,16,9,0.022,0.1091,1,0.645579,0.49373,Death-associated protein 1 OS=Homo sapiens GN=DAP PE=1 SV=3,P51397
m.10382,296,0,0,0,2,0,1,0.446,0.5631,0.853719,0.142938,0.74071,Glutamate--cysteine ligase regulatory subunit OS=Rattus norvegicus GN=Gclm PE=1 SV=1,P48508
m.10387,484,9,12,9,16,13,3,0.298,1.1864,0.000852,0.000033,0.685477,Laccase domain-containing protein 1 OS=Homo sapiens GN=LACC1 PE=1 SV=1,Q8IV20
m.10393,233,0,0,0,0,0,3,0.799,1.043,0.009362,0.00044,0.699482,Semaphorin-5B OS=Mus musculus GN=Sema5b PE=2 SV=2,Q60519
m.104,1674,76,69,269,210,174,155,0.503,7.6338,0,0,0.589529,Clathrin heavy chain 1 OS=Mus musculus GN=Cltc PE=1 SV=3,Q68FD5
m.1041,396,1,2,3,3,1,1,-0.063,-0.0955,0.919162,0.707785,0.203907,"KH domain-containing, RNA-binding, signal transduction-associated protein 2 OS=Xenopus tropicalis GN=khdrbs2 PE=2 SV=1",Q0VFL3
m.1042,331,0,1,0,1,2,1,0.525,0.6237,0.698783,0.088315,0.741836,Uroporphyrinogen decarboxylase OS=Danio rerio GN=urod PE=2 SV=1,Q9PTS2
m.10463,220,1,0,1,2,3,0,0.961,1.2417,0.000303,0.000011,0.680732,Parkinson disease 7 domain-containing protein 1 OS=Xenopus laevis GN=pddc1 PE=2 SV=1,Q32NG4
m.10468,320,16,24,24,20,14,30,0.233,1.3164,0.000068,0.000002,0.67482,m.10468,
m.10469,238,0,0,0,0,1,0,0.186,0.216,1,0.57186,0.606338,Proteasome activator complex subunit 3 OS=Sus scrofa GN=PSME3 PE=2 SV=1,P61291
m.10472,547,1,4,4,9,3,4,0.817,1.8782,0,0,0.641564,Interferon-induced guanylate-binding protein 1 OS=Chlorocebus aethiops GN=GBP1 PE=2 SV=1,Q5D1D6
m.10484,222,2,1,0,0,0,0,-0.125,-0.1593,0.8031,0.712662,0.129639,Coiled-coil domain-containing protein 124-A OS=Xenopus laevis GN=ccdc124-a PE=2 SV=1,Q68EY7
m.10496,298,50,35,71,44,30,24,-0.244,-1.8248,0,0.617394,0,Alcohol dehydrogenase [NADP(+)] OS=Pongo abelii GN=AKR1A1 PE=2 SV=1,Q5R5D5
m.10498,209,0,1,0,0,0,0,0.135,0.16,1,0.614976,0.552786,m.10498,
m.10499,214,0,1,0,0,0,3,0.794,1.0198,0.013281,0.000644,0.701989,"Methylglutaconyl-CoA hydratase, mitochondrial OS=Homo sapiens GN=AUH PE=1 SV=1",Q13825
m.1054,285,23,25,28,24,29,25,0.261,1.7035,0,0,0.650336,E3 ubiquitin-protein ligase TRIM71 OS=Homo sapiens GN=TRIM71 PE=1 SV=1,Q2Q1W2
m.10547,1648,1,0,2,1,1,0,-0.15,-0.1891,0.728273,0.713277,0.101775,Serine/threonine-protein kinase WNK1 OS=Rattus norvegicus GN=Wnk1 PE=1 SV=2,Q9JIH7
m.10557,131,5,5,5,1,2,3,-0.723,-1.494,0,0.627831,0,SNARE-associated protein Snapin OS=Homo sapiens GN=SNAPIN PE=1 SV=1,O95295
m.10558,176,13,7,4,7,9,7,0.183,0.597,0.773187,0.110224,0.741884,Predicted protein OS=Nematostella vectensis GN=v1g246076 PE=4 SV=1,3280410
m.10560,427,8,15,15,19,22,17,0.645,2.867,0,0,0.608983,PH domain-containing protein DDB_G0267786 OS=Dictyostelium discoideum GN=DDB_G0267786 PE=4 SV=1,Q55G75
m.10567,295,0,0,1,0,0,0,0.167,0.2018,0.99992,0.583801,0.59388,Transmembrane protease serine 3 OS=Mus musculus GN=Tmprss3 PE=1 SV=2,Q8K1T0
m.10575,652,4,3,4,1,2,3,-0.428,-0.7964,0.000385,0.663031,0.000017,Grainyhead-like protein 2 homolog OS=Mus musculus GN=Grhl2 PE=2 SV=1,Q8K5C0
m.10586,414,1,0,2,1,1,0,-0.108,-0.1326,0.859257,0.711259,0.158408,N-acyl-phosphatidylethanolamine-hydrolyzing phospholipase D OS=Homo sapiens GN=NAPEPLD PE=1 SV=2,Q6IQ20
m.10597,345,0,1,3,3,0,0,0.207,0.2958,1,0.491406,0.663292,Serine/threonine-protein phosphatase 4 regulatory subunit 2 OS=Drosophila melanogaster GN=PPP4R2r PE=1 SV=2,Q9W2U4
m.1060,147,1,6,4,3,1,7,0.248,0.586,0.801198,0.120241,0.741663,Calmodulin OS=Renilla reniformis PE=1 SV=2,P62184
m.10600,201,6,1,0,0,0,0,-0.903,-1.1722,0,0.640587,0,"Frataxin, mitochondrial OS=Bos taurus GN=FXN PE=2 SV=1",Q05B87
m.10601,162,0,0,0,0,1,0,0.211,0.2456,1,0.544675,0.629962,Probable 8-oxo-dGTP diphosphatase NUDT15 OS=Mus musculus GN=Nudt15 PE=1 SV=1,Q8BG93
m.10605,698,5,5,7,4,5,0,-0.327,-0.7826,0.000499,0.664105,0.000022,Peptidyl-glycine alpha-amidating monooxygenase A OS=Xenopus laevis GN=pam-a PE=1 SV=3,P08478
m.10613,219,1,0,0,0,0,0,0.113,0.1312,1,0.633223,0.520564,m.10613,
m.10621,420,0,12,24,4,12,0,-0.565,-2.0108,0,0.613027,0,Creatine kinase B-type OS=Bos taurus GN=CKB PE=2 SV=1,Q5EA61
m.10642,392,0,1,1,0,0,0,0.203,0.2381,1,0.55186,0.624269,Developmentally-regulated GTP-binding protein 1 OS=Xenopus laevis GN=drg1 PE=2 SV=1,P43690
m.10645,257,1,7,0,0,1,1,-0.949,-1.3137,0,0.634634,0,m.10645,
m.10676,104,2,0,2,2,1,0,-0.05,-0.0686,0.950249,0.704025,0.240285,Haloacid dehalogenase-like hydrolase domain-containing protein 2 OS=Bos taurus GN=HDHD2 PE=2 SV=1,Q3ZCH9
m.1069,424,6,8,8,4,5,8,-0.044,-0.1293,0.865383,0.711025,0.162205,T-complex protein 1 subunit gamma OS=Bos taurus GN=CCT3 PE=1 SV=1,Q3T0K2
m.10693,451,2,2,2,3,2,1,0.168,0.297,1,0.490025,0.663993,Fibrillin-2 OS=Mus musculus GN=Fbn2 PE=1 SV=2,Q61555
m.107,99,24,8,16,9,16,6,-0.227,-0.9858,0.000008,0.650186,0,m.107,
m.10713,218,18,19,33,19,15,19,-0.051,-0.278,0.460113,0.710495,0.044245,Ras-related protein Rab-11A OS=Rattus norvegicus GN=Rab11a PE=1 SV=3,P62494
m.10714,429,13,31,33,20,11,10,-0.396,-1.9422,0,0.614523,0,Septin-8 OS=Xenopus tropicalis GN=sept8 PE=2 SV=1,B1H120
m.10723,443,0,4,1,2,7,2,0.859,1.6208,0,0,0.654914,GDP-fucose protein O-fucosyltransferase 2 OS=Mus musculus GN=Pofut2 PE=1 SV=1,Q8VHI3
m.10726,1630,3,3,13,7,2,3,-0.253,-0.7033,0.002084,0.670647,0.000101,Collagen alpha-2(I) chain OS=Rattus norvegicus GN=Col1a2 PE=1 SV=3,P02466
m.1073,371,13,25,7,1,0,3,-2.007,-4.1698,0,0.594255,0,Tropomodulin-2 OS=Homo sapiens GN=TMOD2 PE=1 SV=1,Q9NZR1
m.1074,292,0,2,19,23,10,4,0.762,2.969,0,0,0.607176,Phytanoyl-CoA dioxygenase domain-containing protein 1 OS=Homo sapiens GN=PHYHD1 PE=1 SV=2,Q5SRE7
m.10744,282,22,7,14,11,27,17,0.482,2.4353,0,0,0.61959,Sorbitol dehydrogenase OS=Ovis aries GN=SORD PE=1 SV=1,P07846
m.10756,2004,1,1,0,1,0,0,0.092,0.1033,1,0.648599,0.486398,Tyrosine-protein phosphatase non-receptor type 23 (Fragment) OS=Rattus norvegicus GN=Ptpn23 PE=1 SV=2,O88902
m.10763,330,0,0,0,0,2,0,0.421,0.5205,0.928978,0.191424,0.73699,m.10763,
m.10779,234,1,0,0,1,0,1,0.137,0.1687,0.999969,0.608958,0.561893,Ran GTPase-activating protein 1 OS=Xenopus laevis GN=rangap1 PE=2 SV=1,O13066
m.10790,402,1,1,1,3,0,2,0.925,1.2095,0.000558,0.000021,0.683454,4-hydroxyphenylpyruvate dioxygenase-like protein OS=Rattus norvegicus GN=Hpdl PE=2 SV=1,Q5XIH9
m.10807,572,86,107,71,58,38,46,-0.388,-3.8013,0,0.595266,0,Predicted protein OS=Nematostella vectensis GN=v1g197490 PE=4 SV=1,3267080
m.10812,189,2,2,1,3,6,0,0.985,1.6582,0,0,0.652807,Agrin OS=Gallus gallus GN=AGRN PE=1 SV=3,P31696
m.10816,192,10,5,0,5,7,5,0.297,0.8504,0.120309,0.007611,0.721863,THAP domain-containing protein 4 OS=Mus musculus GN=Thap4 PE=2 SV=1,Q6P3Z3
m.10817,422,3,2,5,1,0,0,-1.1,-1.5571,0,0.6256,0,Synapsin-2 OS=Rattus norvegicus GN=Syn2 PE=1 SV=1,Q63537
m.10818,372,5,2,7,15,7,2,0.819,2.2937,0,0,0.624358,Arylsulfatase I OS=Mus musculus GN=Arsi PE=2 SV=1,Q32KI9
m.10820,447,0,0,1,0,0,0,0.226,0.2523,1,0.538086,0.634885,"Beta-1,3-glucosyltransferase OS=Mus musculus GN=B3galtl PE=2 SV=3",Q8BHT6
m.10831,206,1,2,0,0,4,0,0.662,0.9918,0.019961,0.001005,0.7051,Latrophilin Cirl OS=Drosophila pseudoobscura pseudoobscura GN=Cirl PE=3 SV=2,Q292N4
m.10852,208,10,3,2,8,5,3,0.296,0.7954,0.212151,0.015109,0.728398,Maleylacetoacetate isomerase OS=Mus musculus GN=Gstz1 PE=1 SV=1,Q9WVL0
m.10878,258,0,4,9,1,7,0,-0.253,-0.5492,0.023917,0.685086,0.001349,Splicing factor 3A subunit 2 OS=Homo sapiens GN=SF3A2 PE=1 SV=2,Q15428
m.10883,471,10,24,52,46,30,38,0.508,3.5719,0,0,0.599281,"Serine hydroxymethyltransferase, mitochondrial OS=Homo sapiens GN=SHMT2 PE=1 SV=3",P34897
m.10886,397,10,4,0,4,1,2,-0.587,-1.2086,0,0.638976,0,Phospholipase D3 OS=Xenopus laevis GN=pld3 PE=2 SV=1,Q6PB03
m.1089,117,36,11,32,33,22,16,0.124,0.825,0.157911,0.010521,0.724919,"ATP synthase-coupling factor 6, mitochondrial OS=Rattus norvegicus GN=Atp5j PE=1 SV=1",P21571
m.10893,298,42,71,54,23,16,16,-0.887,-5.8764,0,0.590682,0,Tropomyosin alpha-1 chain OS=Liza aurata PE=1 SV=1,P84335
m.10901,228,0,1,1,1,1,1,0.209,0.2437,1,0.546514,0.628538,m.10901,
m.10905,398,7,13,7,13,11,4,0.275,1.0186,0.013519,0.000656,0.70212,26S proteasome non-ATPase regulatory subunit 11 OS=Xenopus tropicalis GN=psmd11 PE=3 SV=2,F6XBL2
m.10909,251,3,0,1,6,3,1,0.943,1.6635,0,0,0.652513,Dorsal-ventral patterning tolloid-like protein 1 OS=Danio rerio GN=tll1 PE=2 SV=1,O57460
m.10914,217,1,0,4,0,0,0,-0.563,-0.7745,0.000581,0.664744,0.000026,Ras-related protein Rab-14 OS=Pongo abelii GN=RAB14 PE=2 SV=3,Q5R8Z8
m.10928,723,0,0,0,0,0,5,1.126,1.5536,0,0,0.65886,Peroxidasin OS=Drosophila melanogaster GN=Pxn PE=1 SV=1,Q9VZZ4
m.10938,346,10,6,0,10,13,5,0.727,2.4153,0,0,0.620226,Arsenite methyltransferase OS=Rattus norvegicus GN=As3mt PE=1 SV=1,Q8VHT6
m.10944,532,0,0,0,1,0,0,0.142,0.1498,1,0.621727,0.541737,E3 ubiquitin-protein ligase BRE1B OS=Rattus norvegicus GN=Rnf40 PE=1 SV=1,Q8CJB9
m.10974,566,3,10,20,9,14,17,0.419,1.8626,0,0,0.642303,Bifunctional purine biosynthesis protein PURH OS=Gallus gallus GN=ATIC PE=1 SV=1,P31335
m.110,1165,120,177,81,137,77,98,0.04,0.5441,0.890893,0.163604,0.73938,Lethal(2) giant larvae protein homolog 1 OS=Mus musculus GN=Llgl1 PE=1 SV=1,Q80Y17
m.1100,513,6,6,10,9,8,3,0.14,0.4692,0.982651,0.258567,0.728716,D-3-phosphoglycerate dehydrogenase OS=Mus musculus GN=Phgdh PE=1 SV=3,Q61753
m.11013,280,0,1,0,0,0,0,0.348,0.3917,1,0.367764,0.707355,m.11013,
m.11021,150,1,1,1,0,0,0,0.243,0.26,1,0.530314,0.640356,Multiple coagulation factor deficiency protein 2 homolog OS=Pongo abelii GN=MCFD2 PE=2 SV=1,Q5R8Z6
m.11029,519,0,0,0,0,0,1,0.114,0.134,1,0.631558,0.523835,Gamma-glutamyltranspeptidase 1 OS=Sus scrofa GN=GGT1 PE=2 SV=1,P20735
m.1103,1107,0,3,0,1,0,1,-0.346,-0.4457,0.093815,0.695634,0.006013,Sodium-driven chloride bicarbonate exchanger OS=Bos taurus GN=SLC4A10 PE=2 SV=1,Q32LP4
m.11035,299,5,11,0,4,2,6,-0.115,-0.3081,0.370192,0.708428,0.032181,"Complement component 1 Q subcomponent-binding protein, mitochondrial OS=Bos taurus GN=C1QBP PE=2 SV=1",Q3T0B6
m.11041,876,3,1,3,1,0,2,-0.417,-0.6896,0.002636,0.671841,0.000129,Pumilio homolog 1 OS=Gallus gallus GN=PUM1 PE=2 SV=1,Q2VB19
m.11045,121,6,5,17,5,5,2,-0.666,-1.8465,0,0.616832,0,Myophilin OS=Echinococcus granulosus PE=2 SV=1,Q24799
m.11048,288,0,1,0,0,0,0,0.11,0.1223,1,0.638364,0.509973,Collagen alpha-1(XIV) chain OS=Gallus gallus GN=COL14A1 PE=1 SV=2,P32018
m.11063,151,5,12,5,2,0,5,-0.842,-2.0984,0,0.611292,0,PREDICTED: uncharacterized protein LOC101235613 [Hydra vulgaris],XP_004206966
m.11100,1144,8,9,12,13,17,14,0.678,2.7154,0,0,0.61207,Large proline-rich protein BAG6 OS=Danio rerio GN=Bag6 PE=3 SV=1,A3KPW9
m.11104,363,0,0,0,0,0,2,0.512,0.6676,0.563601,0.059432,0.740199,m.11104,
m.11107,150,46,38,38,37,20,19,-0.242,-1.65,0,0.622495,0,Actin-related protein 2/3 complex subunit 5 OS=Mus musculus GN=Arpc5 PE=2 SV=3,Q9CPW4
m.11115,300,9,12,0,3,0,0,-1.349,-2.6981,0,0.602589,0,Techylectin-5B OS=Tachypleus tridentatus PE=1 SV=1,Q9U8W7
m.11133,183,0,0,1,1,1,0,0.215,0.2524,1,0.537986,0.634957,Ras-related protein Rab-13 OS=Danio rerio GN=rab13 PE=1 SV=1,Q7T3A4
m.11137,540,0,1,0,0,3,0,0.883,1.2375,0.000328,0.000012,0.681081,RanBP-type and C3HC4-type zinc finger-containing protein 1 OS=Danio rerio GN=rbck1 PE=2 SV=1,A9JTG5
m.11149,227,25,39,25,25,20,21,-0.074,-0.4266,0.117369,0.697576,0.007754,Proteasome subunit alpha type-7 OS=Homo sapiens GN=PSMA7 PE=1 SV=1,O14818
m.11152,593,0,3,0,6,5,2,1.265,2.2901,0,0,0.624487,Tenascin-X OS=Crassostrea gigas GN=CGI_10023352 PE=4 SV=1,4780878
m.11158,350,5,4,0,0,0,4,-0.299,-0.5667,0.018551,0.683346,0.001027,Golgi-associated plant pathogenesis-related protein 1 OS=Mus musculus GN=Glipr2 PE=2 SV=3,Q9CYL5
m.11180,213,13,14,6,4,4,0,-1.088,-2.9558,0,0.59963,0,Epidermal growth factor receptor substrate 15-like 1 OS=Homo sapiens GN=EPS15L1 PE=1 SV=1,Q9UBC2
m.11219,223,0,2,0,0,0,1,-0.14,-0.1766,0.761075,0.713132,0.112911,Discoidin domain-containing receptor 2 OS=Homo sapiens GN=DDR2 PE=1 SV=2,Q16832
m.11249,809,0,1,0,0,3,2,0.895,1.1987,0.000681,0.000026,0.684392,Transmembrane protease serine 2 OS=Homo sapiens GN=TMPRSS2 PE=1 SV=3,O15393
m.1126,148,2,6,5,4,5,0,-0.066,-0.1489,0.826229,0.712217,0.140425,60S ribosomal protein L27a OS=Pongo abelii GN=RPL27A PE=2 SV=3,Q5REY2
m.11265,213,12,11,27,11,6,2,-0.754,-2.7847,0,0.601535,0,Protein kinase C-binding protein NELL2 OS=Mus musculus GN=Nell2 PE=2 SV=3,Q61220
m.11289,232,0,0,0,0,1,0,0.124,0.1438,1,0.625549,0.535051,Predicted protein OS=Nematostella vectensis GN=v1g215547 PE=4 SV=1,3281455
m.11297,247,0,0,0,0,0,1,0.198,0.2377,1,0.552237,0.62396,Putative uncharacterized protein OS=Acropora millepora PE=2 SV=1,4396321
m.11298,283,0,0,0,3,1,1,0.676,0.9328,0.044628,0.002449,0.71193,Deleted in malignant brain tumors 1 protein OS=Homo sapiens GN=DMBT1 PE=1 SV=2,Q9UGM3
m.113,378,81,159,120,146,95,128,0.255,3.5063,0,0,0.59993,m.113,
m.11307,740,0,0,1,1,0,0,0.194,0.214,1,0.573585,0.604629,"1-phosphatidylinositol 4,5-bisphosphate phosphodiesterase gamma-1 OS=Mus musculus GN=Plcg1 PE=1 SV=2",Q62077
m.11309,423,0,2,0,0,1,0,-0.097,-0.1117,0.895553,0.709534,0.183303,Hemicentin-2 OS=Mus musculus GN=Hmcn2 PE=2 SV=1,A2AJ76
m.11319,252,3,3,0,0,0,0,-0.723,-0.9965,0.000006,0.649561,0,"Hydroxyacid-oxoacid transhydrogenase, mitochondrial OS=Xenopus tropicalis GN=adhfe1 PE=2 SV=1",Q6P371
m.1133,280,2,4,4,2,2,1,-0.563,-0.9488,0.000017,0.652427,0.000001,PCTP-like protein OS=Homo sapiens GN=STARD10 PE=1 SV=2,Q9Y365
m.11340,155,0,3,1,5,1,0,0.615,0.9806,0.023388,0.001196,0.706369,Balbiani ring protein 3 OS=Chironomus tentans GN=BR3 PE=2 SV=1,Q03376
m.11346,282,0,0,0,1,1,0,0.182,0.2041,0.999889,0.581915,0.595948,"Chromosome undetermined SCAF6613, whole genome shotgun sequence OS=Tetraodon nigroviridis GN=GSTENG00003063001 PE=4 SV=1",51839299
m.1135,538,7,19,20,13,19,7,0.043,0.1924,0.999833,0.59132,0.58522,ALK tyrosine kinase receptor OS=Mus musculus GN=Alk PE=1 SV=2,P97793
