Protein,Len,ON,ON,ON,OO,OO,OO,LogFoldChange,Zstatistic,fdr,FDRup,FDRdown,DEFLINE,Uniprot_updated
m.10164,157,0,1,0,1,0,0,-0.134,-0.155,1,0.576071,0.60225,m.10164,
m.10168,220,0,2,0,0,0,0,-0.355,-0.4365,0.921669,0.694746,0.220892,Platelet-activating factor acetylhydrolase IB subunit gamma OS=Mus musculus GN=Pafah1b3 PE=1 SV=1,Q61205
m.10171,529,0,0,0,0,0,0,-0.106,-0.1149,1,0.541122,0.636623,Cleavage and polyadenylation specificity factor subunit 7 OS=Rattus norvegicus GN=Cpsf7 PE=2 SV=1,Q5XI29
m.10182,249,1,0,0,1,1,1,-0.123,-0.143,1,0.566203,0.61318,DnaJ homolog subfamily C member 8 OS=Homo sapiens GN=DNAJC8 PE=1 SV=2,O75937
m.10194,572,40,47,19,53,49,44,0.248,2.1092,0,0,0.630064,"Aspartate--tRNA ligase, cytoplasmic OS=Rattus norvegicus GN=Dars PE=2 SV=1",P15178
m.10196,145,0,0,0,0,0,1,-0.084,-0.0926,1,0.519219,0.653186,Glutathione peroxidase 1 OS=Rattus norvegicus GN=Gpx1 PE=1 SV=4,P04041
m.10199,219,15,14,3,19,19,24,0.591,2.7711,0,0,0.61218,Ras-related protein Rab-2 OS=Lymnaea stagnalis GN=RAB2 PE=2 SV=1,Q05975
m.1020,1917,2,0,1,1,0,0,-0.461,-0.5529,0.651888,0.700672,0.091795,CCR4-NOT transcription complex subunit 1 OS=Mus musculus GN=Cnot1 PE=1 SV=2,Q6ZQ08
m.10216,265,0,0,0,1,1,2,0.221,0.2574,0.822069,0.092972,0.757723,m.10216,
m.10239,279,0,0,0,0,0,0,-0.108,-0.1169,1,0.542999,0.635052,Nucleolysin TIA-1 isoform p40 OS=Homo sapiens GN=TIA1 PE=1 SV=3,P31483
m.10254,141,4,1,3,5,3,3,0.236,0.506,0.128974,0.005873,0.742543,m.10254,
m.1026,324,0,0,0,0,0,0,-0.169,-0.1932,1,0.60426,0.563645,Peroxidasin homolog OS=Homo sapiens GN=PXDN PE=1 SV=2,Q92626
m.10260,232,1,0,0,4,5,4,1.488,2.1464,0,0,0.628888,Putative uncharacterized protein OS=Branchiostoma floridae GN=BRAFLDRAFT_85506 PE=4 SV=1,3665646
m.1027,157,2,0,0,1,0,1,-0.336,-0.4281,0.933245,0.693593,0.232634,Predicted protein OS=Nematostella vectensis GN=v1g225191 PE=4 SV=1,3289105
m.10277,196,0,0,0,2,0,2,0.465,0.6379,0.022033,0.000835,0.728343,m.10277,
m.10289,705,0,1,0,0,2,0,0.157,0.2051,0.926775,0.141251,0.754895,General vesicular transport factor p115 OS=Bos taurus GN=USO1 PE=1 SV=1,P41541
m.10292,409,0,0,1,1,2,0,0.3,0.3567,0.515183,0.035774,0.755659,"Acylglycerol kinase, mitochondrial OS=Homo sapiens GN=AGK PE=1 SV=2",Q53H12
m.10303,381,0,1,0,0,0,0,-0.027,-0.0294,1,0.447776,0.69132,"DNA-directed RNA polymerase, mitochondrial OS=Mus musculus GN=Polrmt PE=2 SV=1",Q8BKF1
m.10304,278,8,6,0,6,6,6,0.129,0.3637,0.491624,0.03319,0.755238,Hemicentin-1 OS=Homo sapiens GN=HMCN1 PE=1 SV=2,Q96RW7
m.10324,680,13,8,7,6,4,2,-0.953,-2.6043,0,0.604961,0,"1,4-alpha-glucan-branching enzyme OS=Homo sapiens GN=GBE1 PE=1 SV=3",Q04446
m.10327,1122,2,1,0,3,1,1,0.19,0.2766,0.771544,0.078554,0.757997,LIM domain-containing protein 2 OS=Bos taurus GN=LIMD2 PE=2 SV=1,Q1LZA7
m.1033,111,0,4,0,3,3,0,0.041,0.0754,1,0.306769,0.731702,Carbonic anhydrase 7 OS=Mus musculus GN=Ca7 PE=1 SV=2,Q9ERQ8
m.10342,512,0,0,1,0,0,0,-0.123,-0.136,1,0.560215,0.619298,Multidrug resistance protein 1 OS=Homo sapiens GN=ABCB1 PE=1 SV=3,P08183
m.10346,250,0,1,1,1,0,1,-0.128,-0.1458,1,0.568549,0.610679,Scavenger receptor cysteine-rich type 1 protein M160 OS=Homo sapiens GN=CD163L1 PE=1 SV=2,Q9NR16
m.1035,165,1,1,1,0,0,1,-0.084,-0.0934,1,0.520035,0.652621,Ubiquitin-conjugating enzyme E2 G2 OS=Pongo abelii GN=UBE2G2 PE=2 SV=1,Q5RF84
m.10353,112,0,1,0,1,0,0,-0.141,-0.1603,1,0.580272,0.597242,m.10353,
m.1036,1192,0,2,2,3,0,0,-0.16,-0.2533,1,0.639478,0.491079,Splicing factor 3B subunit 1 OS=Xenopus laevis GN=sf3b1 PE=2 SV=1,O57683
m.10365,413,4,1,0,11,11,12,1.749,3.885,0,0,0.597198,Predicted protein (Fragment) OS=Nematostella vectensis GN=v1g140878 PE=4 SV=1,3285278
m.10373,1031,0,1,0,0,0,0,-0.251,-0.2979,1,0.659357,0.428787,Partitioning defective 3 homolog OS=Mus musculus GN=Pard3 PE=1 SV=2,Q99NH2
m.10374,1005,0,1,0,2,3,5,1.209,1.7574,0,0,0.642509,Nuclear pore complex protein Nup153 OS=Xenopus laevis GN=nup153 PE=1 SV=1,Q640Z6
m.10378,725,5,2,0,10,13,12,1.386,3.5127,0,0,0.600533,Uncharacterized protein RSN1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=RSN1 PE=1 SV=1,Q03516
m.1038,113,21,16,9,25,24,24,0.396,2.05,0,0,0.631958,Death-associated protein 1 OS=Homo sapiens GN=DAP PE=1 SV=3,P51397
m.10382,296,2,0,1,0,0,0,-0.489,-0.6175,0.451165,0.697975,0.049732,Glutamate--cysteine ligase regulatory subunit OS=Rattus norvegicus GN=Gclm PE=1 SV=1,P48508
m.10387,484,16,13,3,22,22,18,0.598,2.6149,0,0,0.615618,Laccase domain-containing protein 1 OS=Homo sapiens GN=LACC1 PE=1 SV=1,Q8IV20
m.10393,233,0,0,3,0,0,0,-0.652,-0.8667,0.03454,0.67491,0.002143,Semaphorin-5B OS=Mus musculus GN=Sema5b PE=2 SV=2,Q60519
m.104,1674,210,174,155,135,120,104,-0.474,-6.9442,0,0.589202,0,Clathrin heavy chain 1 OS=Mus musculus GN=Cltc PE=1 SV=3,Q68FD5
m.1041,396,3,1,1,3,3,2,0.327,0.5667,0.060275,0.002493,0.736027,"KH domain-containing, RNA-binding, signal transduction-associated protein 2 OS=Xenopus tropicalis GN=khdrbs2 PE=2 SV=1",Q0VFL3
m.1042,331,1,2,1,3,3,3,0.793,1.2429,0,0,0.674488,Uroporphyrinogen decarboxylase OS=Danio rerio GN=urod PE=2 SV=1,Q9PTS2
m.1044,836,0,0,0,0,0,1,-0.101,-0.1177,1,0.543746,0.634419,Coiled-coil and C2 domain-containing protein 1-like OS=Drosophila pseudoobscura pseudoobscura GN=GA18377 PE=3 SV=2,Q29M42
m.10457,752,0,0,0,1,0,0,-0.157,-0.1775,1,0.593256,0.580222,Probable ATP-dependent RNA helicase DDX4 OS=Xenopus laevis GN=ddx4 PE=2 SV=1,Q91372
m.10463,220,2,3,0,3,3,4,0.436,0.7876,0.001864,0.000061,0.71305,Parkinson disease 7 domain-containing protein 1 OS=Xenopus laevis GN=pddc1 PE=2 SV=1,Q32NG4
m.10468,320,20,14,30,19,16,18,-0.26,-1.4501,0,0.636194,0,m.10468,
m.10469,238,0,1,0,0,0,0,-0.117,-0.1346,1,0.558997,0.620499,Proteasome activator complex subunit 3 OS=Sus scrofa GN=PSME3 PE=2 SV=1,P61291
m.10472,547,9,3,4,15,14,14,0.921,3.2331,0,0,0.604081,Interferon-induced guanylate-binding protein 1 OS=Chlorocebus aethiops GN=GBP1 PE=2 SV=1,Q5D1D6
m.10484,222,0,0,0,1,0,1,-0.105,-0.1295,1,0.554501,0.624812,Coiled-coil domain-containing protein 124-A OS=Xenopus laevis GN=ccdc124-a PE=2 SV=1,Q68EY7
m.10496,298,44,30,24,36,36,36,0.02,0.1364,0.995857,0.223098,0.745723,Alcohol dehydrogenase [NADP(+)] OS=Pongo abelii GN=AKR1A1 PE=2 SV=1,Q5R5D5
m.10498,209,0,0,0,0,0,0,-0.181,-0.217,1,0.619468,0.536612,m.10498,
m.10499,214,0,0,3,1,0,0,-0.666,-0.8054,0.075201,0.680881,0.005196,"Methylglutaconyl-CoA hydratase, mitochondrial OS=Homo sapiens GN=AUH PE=1 SV=1",Q13825
m.1054,285,24,29,25,28,27,20,-0.117,-0.7233,0.185444,0.689056,0.015182,E3 ubiquitin-protein ligase TRIM71 OS=Homo sapiens GN=TRIM71 PE=1 SV=1,Q2Q1W2
m.10547,1648,1,1,0,0,0,0,-0.118,-0.1368,1,0.560908,0.618608,Serine/threonine-protein kinase WNK1 OS=Rattus norvegicus GN=Wnk1 PE=1 SV=2,Q9JIH7
m.10557,131,1,2,3,2,0,3,-0.08,-0.1315,0.999973,0.556274,0.623132,SNARE-associated protein Snapin OS=Homo sapiens GN=SNAPIN PE=1 SV=1,O95295
m.10558,176,7,9,7,6,6,6,-0.331,-1.0161,0.003671,0.662006,0.000182,Predicted protein OS=Nematostella vectensis GN=v1g246076 PE=4 SV=1,3280410
m.10560,427,19,22,17,21,12,17,-0.237,-1.2097,0.000098,0.648719,0.000004,PH domain-containing protein DDB_G0267786 OS=Dictyostelium discoideum GN=DDB_G0267786 PE=4 SV=1,Q55G75
m.10567,295,0,0,0,1,0,0,-0.162,-0.1941,1,0.604867,0.562664,Transmembrane protease serine 3 OS=Mus musculus GN=Tmprss3 PE=1 SV=2,Q8K1T0
m.10575,652,1,2,3,2,1,2,-0.259,-0.3858,0.976258,0.685983,0.294936,Grainyhead-like protein 2 homolog OS=Mus musculus GN=Grhl2 PE=2 SV=1,Q8K5C0
m.10586,414,1,1,0,0,1,1,-0.085,-0.1006,1,0.52728,0.647444,N-acyl-phosphatidylethanolamine-hydrolyzing phospholipase D OS=Homo sapiens GN=NAPEPLD PE=1 SV=2,Q6IQ20
m.10597,345,3,0,0,2,5,4,0.784,1.3688,0,0,0.665006,Serine/threonine-protein phosphatase 4 regulatory subunit 2 OS=Drosophila melanogaster GN=PPP4R2r PE=1 SV=2,Q9W2U4
m.1060,147,3,1,7,4,8,5,0.389,0.9816,0.000038,0.000001,0.695496,Calmodulin OS=Renilla reniformis PE=1 SV=2,P62184
m.10600,201,0,0,0,0,0,0,-0.158,-0.176,1,0.592162,0.581753,"Frataxin, mitochondrial OS=Bos taurus GN=FXN PE=2 SV=1",Q05B87
m.10601,162,0,1,0,0,0,0,-0.056,-0.0651,1,0.489786,0.671293,Probable 8-oxo-dGTP diphosphatase NUDT15 OS=Mus musculus GN=Nudt15 PE=1 SV=1,Q8BG93
m.10605,698,4,5,0,4,10,6,0.631,1.6463,0,0,0.647663,Peptidyl-glycine alpha-amidating monooxygenase A OS=Xenopus laevis GN=pam-a PE=1 SV=3,P08478
m.10613,219,0,0,0,0,0,0,-0.164,-0.1915,1,0.603106,0.565488,m.10613,
m.10621,420,4,12,0,1,0,1,-1.973,-3.0087,0,0.600721,0,Creatine kinase B-type OS=Bos taurus GN=CKB PE=2 SV=1,Q5EA61
m.10642,392,0,0,0,0,0,0,-0.082,-0.0973,1,0.523983,0.64984,Developmentally-regulated GTP-binding protein 1 OS=Xenopus laevis GN=drg1 PE=2 SV=1,P43690
m.10645,257,0,1,1,0,0,0,-0.082,-0.0947,1,0.521357,0.6517,m.10645,
m.10676,104,2,1,0,1,0,0,-0.476,-0.5829,0.558886,0.699804,0.069807,Haloacid dehalogenase-like hydrolase domain-containing protein 2 OS=Bos taurus GN=HDHD2 PE=2 SV=1,Q3ZCH9
m.1069,424,4,5,8,2,1,4,-1.011,-2.18,0,0.612152,0,T-complex protein 1 subunit gamma OS=Bos taurus GN=CCT3 PE=1 SV=1,Q3T0K2
m.10693,451,3,2,1,6,3,3,0.652,1.3931,0,0,0.663255,Fibrillin-2 OS=Mus musculus GN=Fbn2 PE=1 SV=2,Q61555
m.107,99,9,16,6,18,13,16,0.349,1.5079,0,0,0.655521,m.107,
m.10713,218,19,15,19,29,29,26,0.394,2.2334,0,0,0.626177,Ras-related protein Rab-11A OS=Rattus norvegicus GN=Rab11a PE=1 SV=3,P62494
m.10714,429,20,11,10,32,34,39,0.885,4.7983,0,0,0.592423,Septin-8 OS=Xenopus tropicalis GN=sept8 PE=2 SV=1,B1H120
m.10723,443,2,7,2,0,1,1,-1.479,-2.0197,0,0.61649,0,GDP-fucose protein O-fucosyltransferase 2 OS=Mus musculus GN=Pofut2 PE=1 SV=1,Q8VHI3
m.10726,1630,7,2,3,6,6,7,0.393,1.0492,0.000008,0,0.689864,Collagen alpha-2(I) chain OS=Rattus norvegicus GN=Col1a2 PE=1 SV=3,P02466
m.1073,371,1,0,3,8,9,8,1.63,3.1346,0,0,0.605583,Tropomodulin-2 OS=Homo sapiens GN=TMOD2 PE=1 SV=1,Q9NZR1
m.1074,292,23,10,4,18,14,12,0.114,0.5142,0.117049,0.005252,0.741676,Phytanoyl-CoA dioxygenase domain-containing protein 1 OS=Homo sapiens GN=PHYHD1 PE=1 SV=2,Q5SRE7
m.10744,282,11,27,17,19,23,13,-0.076,-0.4053,0.959429,0.689876,0.265657,Sorbitol dehydrogenase OS=Ovis aries GN=SORD PE=1 SV=1,P07846
m.10756,2004,1,0,0,0,0,0,-0.206,-0.23,1,0.62706,0.52089,Tyrosine-protein phosphatase non-receptor type 23 (Fragment) OS=Rattus norvegicus GN=Ptpn23 PE=1 SV=2,O88902
m.10763,330,0,2,0,1,1,1,-0.484,-0.5727,0.590928,0.700182,0.076782,m.10763,
m.10779,234,1,0,1,1,0,1,-0.187,-0.225,1,0.624198,0.527015,Ran GTPase-activating protein 1 OS=Xenopus laevis GN=rangap1 PE=2 SV=1,O13066
m.10790,402,3,0,2,3,1,1,-0.317,-0.463,0.878062,0.697669,0.185682,4-hydroxyphenylpyruvate dioxygenase-like protein OS=Rattus norvegicus GN=Hpdl PE=2 SV=1,Q5XIH9
m.10807,572,58,38,46,82,87,87,0.523,5.1646,0,0,0.591138,Predicted protein OS=Nematostella vectensis GN=v1g197490 PE=4 SV=1,3267080
m.10812,189,3,6,0,2,0,0,-1.043,-1.6362,0,0.628753,0,Agrin OS=Gallus gallus GN=AGRN PE=1 SV=3,P31696
m.10816,192,5,7,5,2,7,5,-0.282,-0.7768,0.104956,0.683741,0.007662,THAP domain-containing protein 4 OS=Mus musculus GN=Thap4 PE=2 SV=1,Q6P3Z3
m.10817,422,1,0,0,2,0,0,0.189,0.2365,0.869908,0.110681,0.756978,Synapsin-2 OS=Rattus norvegicus GN=Syn2 PE=1 SV=1,Q63537
m.10818,372,15,7,2,18,9,6,0.266,0.9371,0.0001,0.000003,0.69932,Arylsulfatase I OS=Mus musculus GN=Arsi PE=2 SV=1,Q32KI9
m.10820,447,0,0,0,0,0,0,-0.098,-0.1097,1,0.536172,0.640643,"Beta-1,3-glucosyltransferase OS=Mus musculus GN=B3galtl PE=2 SV=3",Q8BHT6
m.10831,206,0,4,0,6,6,6,1.041,2.1781,0,0,0.627894,Latrophilin Cirl OS=Drosophila pseudoobscura pseudoobscura GN=Cirl PE=3 SV=2,Q292N4
m.10852,208,8,5,3,12,6,5,0.278,0.8233,0.000966,0.000031,0.709635,Maleylacetoacetate isomerase OS=Mus musculus GN=Gstz1 PE=1 SV=1,Q9WVL0
m.10878,258,1,7,0,4,2,7,0.285,0.6121,0.032152,0.001255,0.731112,Splicing factor 3A subunit 2 OS=Homo sapiens GN=SF3A2 PE=1 SV=2,Q15428
m.10883,471,46,30,38,33,30,37,-0.203,-1.4509,0,0.636158,0,"Serine hydroxymethyltransferase, mitochondrial OS=Homo sapiens GN=SHMT2 PE=1 SV=3",P34897
m.10886,397,4,1,2,4,3,4,0.404,0.7588,0.003108,0.000104,0.715872,Phospholipase D3 OS=Xenopus laevis GN=pld3 PE=2 SV=1,Q6PB03
m.1089,117,33,22,16,20,23,24,-0.128,-0.7921,0.088025,0.682208,0.006237,"ATP synthase-coupling factor 6, mitochondrial OS=Rattus norvegicus GN=Atp5j PE=1 SV=1",P21571
m.10893,298,23,16,16,43,45,44,0.806,5.1597,0,0,0.591155,Tropomyosin alpha-1 chain OS=Liza aurata PE=1 SV=1,P84335
m.10899,216,0,0,0,1,0,0,0.027,0.0303,1,0.369601,0.717264,Protein rolling stone OS=Drosophila melanogaster GN=rost PE=2 SV=2,O44252
m.10901,228,1,1,1,1,1,1,-0.153,-0.1783,1,0.593836,0.579401,m.10901,
m.10905,398,13,11,4,14,10,8,0.058,0.2274,0.888153,0.119053,0.756497,26S proteasome non-ATPase regulatory subunit 11 OS=Xenopus tropicalis GN=psmd11 PE=3 SV=2,F6XBL2
m.10909,251,6,3,1,0,0,0,-1.433,-1.9759,0,0.617782,0,Dorsal-ventral patterning tolloid-like protein 1 OS=Danio rerio GN=tll1 PE=2 SV=1,O57460
m.10914,217,0,0,0,0,0,0,-0.062,-0.0751,1,0.500795,0.664993,Ras-related protein Rab-14 OS=Pongo abelii GN=RAB14 PE=2 SV=3,Q5R8Z8
m.10923,594,0,0,0,1,0,0,-0.168,-0.1867,1,0.5998,0.570629,Phosphoribosylformylglycinamidine synthase OS=Mus musculus GN=Pfas PE=2 SV=1,Q5SUR0
m.10928,723,0,0,5,0,0,13,0.707,1.5359,0,0,0.653795,Peroxidasin OS=Drosophila melanogaster GN=Pxn PE=1 SV=1,Q9VZZ4
m.10938,346,10,13,5,11,0,3,-0.729,-2.2078,0,0.611486,0,Arsenite methyltransferase OS=Rattus norvegicus GN=As3mt PE=1 SV=1,Q8VHT6
m.10942,329,0,0,0,0,0,0,-0.101,-0.118,1,0.544026,0.634181,E3 ubiquitin-protein ligase LRSAM1 OS=Mus musculus GN=Lrsam1 PE=2 SV=1,Q80ZI6
m.10944,532,1,0,0,0,0,0,-0.171,-0.1774,1,0.593183,0.580324,E3 ubiquitin-protein ligase BRE1B OS=Rattus norvegicus GN=Rnf40 PE=1 SV=1,Q8CJB9
m.10974,566,9,14,17,10,13,13,-0.192,-0.8258,0.058596,0.678863,0.003901,Bifunctional purine biosynthesis protein PURH OS=Gallus gallus GN=ATIC PE=1 SV=1,P31335
m.110,1165,137,77,98,230,244,222,0.726,11.1223,0,0,0.587881,Lethal(2) giant larvae protein homolog 1 OS=Mus musculus GN=Llgl1 PE=1 SV=1,Q80Y17
m.1100,513,9,8,3,7,7,6,-0.077,-0.2481,1,0.636834,0.497908,D-3-phosphoglycerate dehydrogenase OS=Mus musculus GN=Phgdh PE=1 SV=3,Q61753
m.11013,280,0,0,0,0,0,0,0.025,0.0274,1,0.373571,0.716196,m.11013,
m.11021,150,0,0,0,1,0,0,-0.046,-0.0504,1,0.472987,0.679992,Multiple coagulation factor deficiency protein 2 homolog OS=Pongo abelii GN=MCFD2 PE=2 SV=1,Q5R8Z6
m.11029,519,0,0,1,0,0,0,-0.192,-0.2253,1,0.624372,0.526651,Gamma-glutamyltranspeptidase 1 OS=Sus scrofa GN=GGT1 PE=2 SV=1,P20735
m.1103,1107,1,0,1,1,0,0,-0.034,-0.0377,1,0.457905,0.686993,Sodium-driven chloride bicarbonate exchanger OS=Bos taurus GN=SLC4A10 PE=2 SV=1,Q32LP4
m.11035,299,4,2,6,20,22,21,1.652,5.1528,0,0,0.59118,"Complement component 1 Q subcomponent-binding protein, mitochondrial OS=Bos taurus GN=C1QBP PE=2 SV=1",Q3T0B6
m.11041,876,1,0,2,2,1,1,-0.153,-0.2209,1,0.621797,0.531966,Pumilio homolog 1 OS=Gallus gallus GN=PUM1 PE=2 SV=1,Q2VB19
m.11045,121,5,5,2,5,4,4,-0.028,-0.0711,1,0.496433,0.667551,Myophilin OS=Echinococcus granulosus PE=2 SV=1,Q24799
m.11048,288,0,0,0,0,0,0,-0.148,-0.1609,1,0.580742,0.596668,Collagen alpha-1(XIV) chain OS=Gallus gallus GN=COL14A1 PE=1 SV=2,P32018
m.11063,151,2,0,5,8,10,8,1.108,2.6745,0,0,0.614255,PREDICTED: uncharacterized protein LOC101235613 [Hydra vulgaris],XP_004206966
m.11100,1144,13,17,14,24,23,25,0.443,2.3263,0,0,0.623354,Large proline-rich protein BAG6 OS=Danio rerio GN=Bag6 PE=3 SV=1,A3KPW9
m.11104,363,0,0,2,0,0,0,-0.401,-0.5176,0.753158,0.700618,0.12362,m.11104,
m.11107,150,37,20,19,44,40,41,0.42,2.8732,0,0,0.610144,Actin-related protein 2/3 complex subunit 5 OS=Mus musculus GN=Arpc5 PE=2 SV=3,Q9CPW4
m.11115,300,3,0,0,8,1,8,1.12,2.2941,0,0,0.624321,Techylectin-5B OS=Tachypleus tridentatus PE=1 SV=1,Q9U8W7
m.11131,120,0,0,0,0,0,0,-0.086,-0.0958,1,0.522471,0.650916,Uncharacterized protein OS=Emiliania huxleyi CCMP1516 GN=EMIHUDRAFT_249911 PE=4 SV=1,8757418
m.11133,183,1,1,0,0,0,0,-0.039,-0.0438,1,0.465214,0.683688,Ras-related protein Rab-13 OS=Danio rerio GN=rab13 PE=1 SV=1,Q7T3A4
m.11137,540,0,3,0,0,0,0,-0.576,-0.7964,0.083695,0.681779,0.005882,RanBP-type and C3HC4-type zinc finger-containing protein 1 OS=Danio rerio GN=rbck1 PE=2 SV=1,A9JTG5
m.11143,350,0,0,0,0,0,0,-0.18,-0.199,1,0.608126,0.557268,Hemicentin-1 OS=Homo sapiens GN=HMCN1 PE=1 SV=2,Q96RW7
m.11149,227,25,20,21,25,23,20,-0.056,-0.309,1,0.663583,0.412399,Proteasome subunit alpha type-7 OS=Homo sapiens GN=PSMA7 PE=1 SV=1,O14818
m.11152,593,6,5,2,5,3,5,-0.068,-0.1713,1,0.588689,0.586494,Tenascin-X OS=Crassostrea gigas GN=CGI_10023352 PE=4 SV=1,K1QX02
m.11158,350,0,0,4,0,0,0,-0.862,-1.1817,0.000174,0.650443,0.000007,Golgi-associated plant pathogenesis-related protein 1 OS=Mus musculus GN=Glipr2 PE=2 SV=3,Q9CYL5
m.11180,213,4,4,0,13,13,17,1.544,4.185,0,0,0.595031,Epidermal growth factor receptor substrate 15-like 1 OS=Homo sapiens GN=EPS15L1 PE=1 SV=1,Q9UBC2
m.11219,223,0,0,1,0,0,0,-0.091,-0.0992,1,0.525886,0.648465,Discoidin domain-containing receptor 2 OS=Homo sapiens GN=DDR2 PE=1 SV=2,Q16832
m.11249,809,0,3,2,1,3,3,0.055,0.0984,0.999995,0.27464,0.737655,Transmembrane protease serine 2 OS=Homo sapiens GN=TMPRSS2 PE=1 SV=3,O15393
m.1126,148,4,5,0,6,4,8,0.519,1.2266,0,0,0.67575,60S ribosomal protein L27a OS=Pongo abelii GN=RPL27A PE=2 SV=3,Q5REY2
m.11265,213,11,6,2,16,15,17,0.875,3.1668,0,0,0.605079,Protein kinase C-binding protein NELL2 OS=Mus musculus GN=Nell2 PE=2 SV=3,Q61220
